用户名,评论时间,IP属地,评论分数,有用数量,短评内容
思考的猫,2007-11-28 13:09:41,,5星,418,比利怀尔德的电影总是那么好看，老律师的一言一行都充满了喜感，法庭场面非常精彩，整个过程中的一些阴暗交易和最好的反转，有让影片有了一丝黑色电影的气质，力荐！
朝暮雪,2013-09-22 01:16:29,,5星,477,正义的天平有时会有偏差，但终将回归正义。
大島,2012-11-18 14:46:18,,5星,456,如果它不是满分，没有电影可以配得上五颗星。
荞麦,2014-04-21 17:14:41,,4星,351,老电影真好看！徳黛丽当时已经56岁却还气场十足，特别适合这个角色，但有一段崩溃戏不喜欢，不像她。作为阿加莎的老牌读者当然一下子就猜透结尾了但完全不妨碍……每个人的表演都精彩，细节做得特别足。……比喻一如既往的好“就像溺水的人抓住剃须刀片……”
杨迪,2017-09-20 19:51:39,,5星,276,谁能想到这是1957年的电影，一点儿也不拖泥带水。以为猜中了结局，还是会有猜不到的地方出现，真的很精彩。
陀螺凡达可,2012-10-21 08:29:00,,5星,285,阿加莎的故事太精彩了，以至于后世不断模仿早已失去趣味。但这部1957年的电影经由怀尔德之手至今风采依旧引人入胜。
胤祥,2012-11-09 01:14:31,,5星,181,其实我真想因为阿加莎的百年不变烂俗化装桥段扣一星的……不过这部片子竟然是个喜剧！它竟然是个喜剧！而且台词写的实在是太好了。感谢TLF字幕组的注释。影片结尾那个“不要剧透”的提示实在太可爱了！
有心打扰,2011-12-25 00:38:19,,5星,192,情不自禁便爱上了这个老胖子。爵士和护士之间的拌嘴太可爱的。即使是到影片的最后10分钟，剧情、谜团仍旧一波三折，确实不能剧透，你猜不到凶手也猜不到过程，永远不要以为你是对的，至今看过的最强大、最有趣的推理影片。她不是杀了他，而是处决了他，一个不同寻常的女人。永远不要背叛真爱。
清炒黎蒿,2016-12-28 15:27:32,,5星,195,最后十分钟，一个接一个的反转，包袱抖到眼花缭乱，却不见生硬稚拙，只觉精巧。审判结果尘埃落定时妻子趴在门外看过来的那一眼，回味起来真是难受得心里发慌。剧本，台词，镜头，表演，节奏，无一不好，很难相信这是六十年前的作品。
易老邪,2016-05-31 16:17:32,,2星,137,原本一向对这片不以为然，但鉴于这是少有的所谓零差评高分经典，恐有误判，因此慎重起见，今儿又重温了一遍，结果观感更差了，只好维持原判：本片编、导、演阵容强大，但全片毫无亮点可言，只是一部肉麻无聊、矫情浮夸、无理取闹、逻辑混乱并乱中取胜的廉价庭审闹剧。终审判决1星半，不得上诉。
妖小木,2023-08-30 15:44:40,北京,4星,200,仔细想，女主居然没有作一句伪证。
danyboy,2014-01-18 15:51:14,,5星,147,牛逼。我猜到了第一层结局，也及时预料到了第二层结局，但是没有猜到最终的结果。《胜者正义》的编剧一定看过这个电影。
欢乐分裂,2012-07-09 15:28:01,,5星,152,各种人物角色高度风格化，各种对白火花四溅，各种构图之精美；峰回路转柳暗花明，终猜不透结局；Marlene依旧冷艳，结尾的迸发说明再强大气场的女神也无法逃过爱的魔掌。
SilenceMontage,2021-11-13 14:55:20,,5星,98,「公眾更願相信浪蕩的婊子說謊，而不願相信賢惠的妻子為丈夫作證」控方證人最大的諷刺與立意，在頂尖的律師，也難逃人性中對眼見高傲的制約。最高級的古典，嚴肅中游刃有餘的幽默，看似無傷大雅，實則冷嘲熱諷，效率地隱含大量訊息；開場搞笑迎接律師，從配角完全彰顯角色背景與特質，懷德編導大師，用細節與道具加強戲劇性、呼應、人物關係轉變、核心立意，超越經典原作；雪茄、電梯、護士、保溫瓶、排列的藥丸減半，表述審判過了許久；充滿以物會意的高超鏡語。鏡片測試讚、搭電梯背影笑死、反轉太經典心臟漏拍，自以為猜到，片尾防劇透提示，遙想寄生俊昊懇請不劇透，簡直可笑。結局太狗血八點檔不夠細膩。勞頓是首位出演白羅的演員，護士是他現實中的妻子。希區考克：「控方證人好得就像是我拍的。」真的好看。
吃饱饱没烦恼,2022-06-02 16:34:55,,5星,179,She executed him.
brennteiskalt,2018-09-16 02:25:21,,2星,29,阿加莎一类探案故事的最大弱点是它们铺陈环节与最终揭秘之间的断裂。情节上对信息的隐藏尚可看做是战略性的抖包袱，人物性格上的不连贯则毫无原谅的余地。怀尔德这部充满俗套的法庭戏用尽全部力气，说尽全部俏皮话，只为把观众导入最后15分钟的反转反转反转再反转，毕竟这里是这出戏存在的唯一目的。一连串炸弹炸过之后，观众们从中获得了娱乐而不是思考。经典好莱坞的叙事结构在本片里展现出它的陈旧：它已抓不住一个故事里真正“人”的东西了。
ｷT ｷﾖ エ ±ｾ,2023-07-03 22:37:47,广东,5星,177,他甚至不愿意再装一会
L'aquoiboniste,2022-12-27 00:04:50,四川,5星,108,好酷！65年过去了！我真的没有被剧透一点点哈哈哈哈哈哈哈结尾的提醒太可爱了！
冰红深蓝,2015-08-26 15:50:52,,5星,53,阿加莎·克里斯蒂的精彩剧本、比利·怀尔德精心设计的风趣对白、张弛有度的节奏把控，以及查尔斯·劳顿、泰隆·鲍华、玛琳·黛德丽等人炉火纯青的表演，一部无可挑剔的经典电影。怀尔德将喜剧、悬疑与法庭戏共冶一炉，几近完美。结尾的多重反转让人震悚不已，56岁的黛德丽的不老容颜啊。（9.5/10）
汪金卫,2014-04-02 21:54:23,,5星,102,片子可分为三部分：40分钟的人物性格展示与案情介绍、1小时的法庭唇枪舌战与8分钟的反转。每部分都精彩而流畅。正义而可爱的胖律师形象非常生动，就连控方律师、法官等配角也十分有戏。56岁的玛琳·黛德丽居然能演如此美貌蛇蝎的妇人，真是惊为天人！//20170708资料馆大银幕。依旧五星
臭屁月,2016-10-15 17:25:26,,2星,43,讲实话，不好看。本片最大的亮点在于演员精湛的演技，不论是沃尔夫妇还是神探，哪怕配角都演的活灵活现。遗憾的是，推理在本片中几乎没有，所以在剧情上略有拖沓，而且少了一些出乎意料。结尾结的不好，太过突兀，又生硬，像是刻意为了洗白女主而设计的。
亚比煞,2017-03-11 10:36:52,,5星,130,人生如戏，全靠演技。
方枪枪,2011-08-22 12:05:20,,5星,45,烂番茄电影都是一样的，伟大的电影却各有各的讲故事方式，本片就是一个完美的悬疑法庭电影，成功归功于阿加莎•克里斯蒂，一个擅长设计故事悬念和冲突来引人入胜的作家。悬念设置和矛盾冲突都设置的恰到好处，山穷水尽之时总会柳暗花明••• ••• 五星力荐
匡轶歌,2013-02-10 17:08:51,,4星,102,本期待着一个传说中的“神展开”，憋着没去提前翻答案给自己泄底，谁知后半段玛琳.黛德丽被作为检方证人传唤时，一下看透悬念，猜中结尾，泄气了不少。故事全部在内景中展开，叙事层层铺垫极具耐心，各出场人物、对手戏间火花迸溅，台词的机智与机锋暗涌…可谓庭辩戏的经典模板。
CyberPenguin,2021-08-06 20:39:00,,5星,80,目瞪口呆，1957年至今，没有任何“反转”剧情可以超越这部电影
老袁,2017-01-23 17:26:53,,5星,74,剧本太好了，关键是每个演员都在给电影加分。再厉害的剧本没有好演员也是不行的……
woodyfalchion,2021-08-02 00:40:07,,5星,33,如果有一百颗星，我愿意打一万颗星。看过这样的经典名作，你才能深刻体会什么是好电影，什么叫好剧本。最后10分钟的反转其实是刻意的，但又印证了“正义会迟到但从不缺席”的真理，这种表面上走向downfall实际上带你攀上有一座故事巅峰的反转手法实在经典。伟大的查尔斯劳顿和玛莲黛德丽的一颦一笑都是教科书级别的表演。影片的对白内涵丰富到要多次回看才能细致品味，那种特有的英式优雅与幽默真是太精彩了，比利怀德的绝世经典，看完后我马上修改了我的人生十佳。
张苑希,2016-10-20 23:18:51,,5星,84,结局真的是高能反转，叹为观止，真是很久没看到这么情节流畅、风格幽默、辩论精妙、一气呵成的律政片了。每个出场人物都层次丰满、几场法庭辩论堪称经典，结局更是神来之笔，让人回味无穷。最让人印象深刻的莫过于编剧对于人性的挖掘，犀利直白，一针见血。女人啊，在爱情里往往都是盲目的。
四木九（已故）,2023-12-27 23:06:20,山东,5星,51,不炫技，不依赖血腥和性爱，将邪恶所占篇幅降低到最小，老老实实叙事。我怀念那个电影时代。
Kaito,2016-02-17 20:08:09,,5星,32,阿婆原作。戏里戏外都挺精彩。最后的（其中一个）逆转不知道对爱德华·诺顿处女秀《一级恐惧》有没有过一定影响。
