用户名,评论时间,IP属地,评论分数,有用数量,短评内容
高歌,2008-08-01 23:04:18,,5星,11451,纸飞机+挥动的小手——那一刻，什么都值了
沈书君,2008-10-06 09:33:32,,5星,8818,一个孩子在启蒙时期，能够遇到一位好的老师，真的是一件非常幸运的事情。
亂馬2/1,2010-07-17 21:29:31,,4星,8231,那漫天飘扬的纸飞机是我对你最诚挚的敬意。
Jumpingtigger,2012-07-05 23:46:31,,5星,7031,星期六，贝贝抱着小熊跟马修老师回家了！QwQ
木由,2016-12-18 18:09:46,,5星,3762,所以我一直坚信最好的教育人才应该放在学前教育和初等教育。小学老师对孩子的未来产生的影响远大于大学老师。可现状却是，大批自己都没学会怎么做人的人被随随便便扔到了小学、初中做老师，放纵霸凌，根据权势财势“因材施教”，惩罚性教育，把孩子逼上绝路就让天性不良背锅，呸。
Q。,2008-05-18 09:04:13,,4星,2636,这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆
齊克斯尼力佐飛,2010-07-31 21:14:27,,4星,1263,问题孩子何其多，善良老师却难觅，但是还好有你。纸飞机送别那一段哭了。
A-sun*,2010-05-15 21:02:20,,5星,4896,莫翰奇每一次独唱我都热泪盈眶.
大头绿豆,2006-08-24 21:18:47,,5星,3782,体育和音乐是促进国家团结的要素。可是俺都不会哈哈。
Doublebitch,2011-02-08 02:07:46,,5星,3045,歌真好听，为什么我上学内会儿参加合唱队唱的都是《黄河大合唱》之类的
小米=qdmimi,2009-05-09 00:56:32,,5星,1771,看到激动地直起鸡皮疙瘩，看来总有那么一种类型的东西能感动本人
赫恩曼尼,2012-06-29 15:22:55,,5星,968,一位影评人：“不同于一般的运用悲情拼命煽情的悲情电影，或极尽夸张搞怪的爆笑喜剧，《放牛班的春天》是一部让人因为喜悦而泪流满面的电影。这也创造了法国电影新概念——阳光情感电影。这部没有美女、暴力；没有动作、凶杀和商业元素的好电影成为了本年度法国人的心灵鸡汤”
起床，吃饭,2015-09-22 12:09:34,,4星,830,第一幕里莫安琦居然会想不起改变他命运的导师叫什么，让我有点不理解。中间校长突然的转变也较生硬。一向不太喜欢法国电影，觉得实验企图太强而显刻意。不过瑕不掩瑜，这部电影还是很好看。
松如,2008-02-13 16:27:21,,5星,1355,马修先生好可爱。
热心网友方先生,2017-02-05 19:54:45,,5星,627,结尾有泪点，教育可不简简单单是体罚那么简单，可见一个表面爱捣蛋的孩子都有心中解不开的结。每个孩子都有自己的性格。永远不要说永远，凡事皆有可能。真是一部不错的电影，感人肺腑，里面的音乐也非常不错。要说遗憾就是那个有暴力倾向的孩子没有被带到正道上来，可怜了我的男中音。
WildHunt,2022-12-02 20:29:41,四川,5星,609,那一天刚好是星期六。他等到了他的爸爸
to130,2006-07-31 12:52:25,,5星,649,每一个孩子都是天使！
Renee,2022-12-04 18:51:54,北京,5星,315,我最喜欢的片段是老师问那个偷钱的孩子为什么要偷钱，那个孩子说想用来买热气球，竟然是这么淳朴的理由…世界上没有真正的坏孩子，需要的是理解他们的大人
如是,2018-03-19 22:14:52,,5星,354,我曾经想成为这样的老师。即使没有做到，克莱门特老师依然在我心里树立了一个真正的授业者的形象，不仅仅是功利的，他还教会你爱和美。
