用户名,评论时间,IP属地,评论分数,有用数量,短评内容
喷子,2016-03-23 23:49:43,,1星,184,白男意淫新高峰。明确的种族与身份划分，且几百年前血腥屠戮不该影响几百年后和平共处（继续奴役）。白男成功学贩卖，乡村有色裔女性无比向往的X国梦实现。市长是无辜的，警长是用心良苦的，小流氓是心地善良的，人性化背后是现有权力结构的巩固确认。树濑呢，不过是再次对少数族群做出番温和取笑罢了
Wanderer,2016-03-04 06:50:11,,5星,365,我们也许进化了，但内心深处我们仍旧是动物。偏见，歧视，评价，用固有成见把别人框在小框框里，只是为了自己过的容易一些。那么努力地证明自己是对的，却也不想让别人给自己贴上标签。生活有点疯狂，我们经常会犯错。不管你是哪一种，改变从你开始。
芦哲峰,2016-03-10 18:20:26,,3星,285,动画本身是不错的，一贯低幼的迪斯尼，拍出了皮克斯的水准。但是把电影当做传播价值观的工具，是无法令人享受到由单纯艺术带来的更为纯粹的乐趣。这段时间感觉整个世界都在倒退，西方正如《疯狂动物城》一样，从自由选择走向政治正确；而天朝则越来越像《动物庄园》，在大步流星地奔向朝鲜。
淡島百景,2016-03-05 12:47:05,,2星,160,感觉这个片的白左癌非常严重啊。
朝暮雪,2016-03-07 20:52:28,,5星,199,“别人家的动画片”。
水湄物语,2016-03-11 14:49:27,,5星,206,为什么你们要扼杀一个商业天才啊！！！单日5倍盈利，这是什么样的能力啊？！ 只有我一个人对结局不满意么？
迟到千年,2016-03-01 09:41:26,,4星,590,打分好高啊！每个动物都好像真的存在的人（一开始上班场景里的长颈鹿完全就是李光洙……）（reception的豹子好像我那个很娘的同事……）一开年就赢了，笑点多内涵丰富。
掉线,2016-03-04 21:37:11,,5星,323,【A-】设定出彩却不仅仅是消费设定，凭这点就比小黄人之流不知高到哪去了。剧本朝类型片上靠使得娱乐性在动画界无出其右，“动物城”的表像带来数不尽的萌点和新奇，而与人类社会并无区别的本质更让主题直指现实。【MD我这么严肃干嘛？真的炒鸡好看啊！！！第一次萌上动画CP了！快拍续集啊迪士尼！！
Ramipasu,2016-02-27 21:56:14,,5星,382,激萌！并且告诉小盆友和大盆友们，不论种族不论背景人(动物)人(动物)平等，即使是弱势群体(请自己代入现实)也不可以搞极端手段来求取认同。
可可爱爱乔,2016-03-04 23:01:10,,5星,136,有没有一百星可以打，真该感谢这次是北美同步。我更觉得这是一部电影而不是动画，因为迪士尼构建的世界太真实。往深了看，带偏见做事对人是很不nice的~往浅了看，这样一部好笑又萌萌哒的电影绝对是生活必备。and 要二刷
夏了夏天,2016-03-03 11:12:15,,5星,112,卧槽！！！简直就是惊喜不断啊~~~~
yiS,2016-03-04 23:03:47,,5星,276,看完之后朋友问了一句，如果这部片不是动画，还能过审吗？的确，在越发压抑的审查制度下，这部片能突围，实在很难得，很值得一看！
根,2016-03-04 20:42:09,,4星,237,除了萌就是萌了！不过剧情简直就是一集加长版的摩登家庭，尤其是那个巨像Cam的豹子
张小瑾,2016-03-02 23:19:46,,5星,111,这是2016年迄今为止看的最棒的一部动画！有笑点，树懒激萌，全场都是要哭了！教父还有breaking bad的模仿梗也特别赞了！有泪点，来自不同圈子的友谊的摩擦！还有深思！
陈圆润,2018-01-27 23:41:00,,4星,152,哈哈哈那是我第一次在电影院看动画片，音乐很棒～朱迪和尼克暖的，印象最深的画面当然是银行那里了哈哈哈唉
同志亦凡人中文站,2016-03-25 12:33:05,,4星,144,动物的人格化很成功，几乎可以直接代入真人来演了。从Frozen到大白到动物城，迪斯尼动画算是找对了类型片的感觉。狐狸和兔子谈场恋爱，光想想都萌萌嗒。树懒那儿直接笑岔～～～
九尾黑猫,2016-03-28 15:42:18,,2星,148,不是塞了很多隐喻就是好故事，放在人身上没意思的故事，换成一群外形可爱的动物依然乏味。到最后，可爱变成了刻意，“内涵”变成了说教，几处致敬也毫无新意，乏善可陈。
岛上的夏奈,2016-03-29 11:43:19,,4星,157,为什么大家都喜欢树懒啊！最萌的明明是基佬豹子前台呀！
Dr.Ray,2016-03-04 22:59:47,,5星,109,9分。进击的迪士尼！说是神作也不过分~Zootopia才是更适合它的名字：把现实世界与动物城完美转换，各种致敬与隐喻讽刺包袱萌点应接不暇，几乎从头笑到尾！人设太迷人！如此大的野心，让大人孩子各取所需！得承认是有一些套路的东西，然而看完全片，你打高分的冲动根本按捺不下啊！
木卫二,2016-03-05 00:40:09,,4星,120,伸出你们的爪，摇起你们的尾巴~树懒啊水獭啊树獭啊水懒啊，就情情爱爱眼睛泪汪汪打转什么的太迪斯尼了，其他似乎都挺好的。
深深的蓝,2016-03-04 02:16:38,,5星,92,这部动画不靠卖萌取胜
尚在影,2016-03-04 02:34:01,,4星,279,迪士尼这次太会玩，狐狸和兔子都在一起了，你还相信童话吗？故事欢快有趣，情节跌宕起伏，一会一个惊喜，还有好多大家熟悉的梗：let it go、教父、绝命毒师、碟中谍、狮子王，后面还不忘用盗版碟带回大家的回忆。最搞笑就是树懒那段，结局反转的不错，世界观价值观到位，社会意义值得认可！
东篱,2018-01-28 19:24:15,,5星,93,树懒实在太搞笑啦～哈哈，风靡一时的表情包，朱迪和狐狸先生好可爱
麦垄风来翠浪斜,2017-12-20 00:12:54,,4星,87,怎么说呢，对于里面的树懒先生，因为我是他的迷妹，我对他的喜爱只能用啊啊啊啊啊啊啊啊才能形容了。
anewpig,2016-02-27 16:48:04,,5星,307,很难想象居然是傻白甜的迪斯尼拍的！虽然是动画片但写的用心寓意很深 估计不少成年人能从中有所共鸣... 作为一个加班狗三俗狗花痴狗 喜欢女主家的275个表兄妹 叨叨逼逼的前台和慢到整个世界都不好了的树懒 还有站定了兔子狐狸CP 编剧也是入戏太深 动物裸体天然浴场什么鬼哈哈哈哈哈哈
沙门,2016-03-08 10:29:21,,3星,198,有一个问题，动物城里的肉食动物们吃什么肉？
艾小柯,2016-03-19 18:45:30,,4星,102,可谓美国文化与价值观的一次绝佳大放送。故事整体还好，非常美国非常好莱坞，而有些桥段的确绝妙。
AsuraHu,2016-03-04 02:06:29,,5星,203,埋梗埋得太开心了！《教父》！《绝命毒师》！迪士尼各种经典！Shakira！种族和政治隐喻赞爆！最重要的是！好！笑！死！了！这对cp超戳我的点！最后一段秀恩爱甜到不行！以后黑人可以用“你调情还不如一只狐狸！”了呜呜呜呜萌哭。
冰拿铁,2016-03-03 01:27:46,,5星,82,喜欢每一个人物啊！老是期待兔子和狐狸有点感情戏什么的~~~树懒慢到整个世界都不好了哈哈哈哈
卢十四,2016-03-11 22:32:19,,5星,67,看《疯狂动物城》，感觉就像看乔峰打太祖长拳。都是最普通最寻常的套路，硬是打出了武学名家毕生追求的至高境界。
姨妈的鸭,2016-03-08 22:17:17,,5星,90,消除动物偏见从你我做起：我是鸭子我也可以是女的。
jiojio,2016-03-01 23:20:57,,5星,129,简直就是布鲁克林奶奶动画大电影啊！Jake狐和Amy兔！
frozenmoon,2016-03-06 15:50:55,,4星,87,动物乌托邦/反乌托邦，罪案类型，童话，各种萌细节，各种小讽刺，很赞很赞。
柏林苍穹下,2016-03-05 00:47:24,,4星,51,“所有动物生来平等，但有些动物比其他动物更平等。”——A面是底层人物翻转世界的理想主义正能量，B面则展现出和谐城市难以根除的族群矛盾阴暗面。乌托邦、乌合之众、美丽新世界······诸多概念化的设定，尤适于观众根据自身的需要进行过度阐释。
古尔齐亚,2016-03-13 18:41:01,,5星,80,水獭对政府效率的比喻简直可以给满分
严箫玉,2016-03-05 12:02:39,,5星,55,觉得动画越来越适合表达抽象主题了，真是人类演员没法做到的。觉得会是年度动画片+政治片最佳。
狗骨头,2016-03-04 23:06:17,,5星,58,我只能说，妈呀，也太好看了！从冰雪奇缘开始，迪士尼就不满足于只做普通的童话故事了，里面剧情各种反转，结局意想不到！
迷宝,2016-03-04 20:59:42,,5星,41,好看哭了！但是树懒要红了，不开心！
温言,2016-03-05 22:03:33,,5星,48,我只想知道，如果移民动物城，我可以嫁给狐狸嘛？！？
玑衡,2016-03-24 13:20:54,,3星,146,为什么那么多人会认为这部政治洗脑片好看……每一句兔子说的话都是propaganda.
