用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Pearciac,2013-08-20 05:49:29,,2星,500,恶俗、经不起推敲的细节，俗气无比的结构，满嘴跑火车的男主加上智商为0的德军，难怪频繁出现在“最过誉影片”之列。我不会说我分了两次才看完，其中还忍不住关掉一次，换成【八部半】看了半小时。
城南草木生,2008-02-25 18:12:35,,5星,669,我爸爸是四核的超人
狄飞惊,2010-11-14 18:55:57,,4星,354,多拉走进去，圭多跟进去，结果是约书亚跑了出来，人生就是这么美丽的魔术。
shu,2008-07-13 14:40:34,,5星,606,后来他成了王子还有传说。
窃窃私语,2021-10-27 20:26:09,,5星,271,因为看过钢琴家，所以即便知道这部片子的基调本身没那么沉重反而十分诙谐，我也觉得他能带着儿子活到最后十分的神奇。然而结局的那几声枪声却又让我不可置信，我所以为的巧合、算计、主角光环统统消失了，他在那一刻不再是神通广大、浪漫幽默的父亲、丈夫，而只是一个苦苦挣扎却没能见到黎明的犹太人。
littletwo,2007-11-10 11:38:01,,5星,665,早安！公主！
谢谢你们的鱼,2020-01-03 22:35:19,,3星,75,被男主角密集的台词逼逼得脑壳疼，不管你们喜不喜欢，感不感动，我不喜欢，也不感动，一个假的要死的故事，配上前后脱节的结构，看的人昏昏欲睡。
心生,2012-10-23 23:06:43,,4星,254,对于这样的经典，我在抱有充分尊重的同时，也习惯于带着质疑去欣赏。这是一个完美得细节一定不真实的故事，这个美丽人生的存在，有其述说意图，换言之，故事在为立意服务，而虽然这片子的立意经典到无法复制，但是由于其故事本身的服务意识太强所造成的牵强，让我只愿给出4星。对不起，经典。
沙鸥,2020-01-05 09:35:40,,2星,127,我不是很能接受严肃题材喜剧化的处理手法，我明白导演以喜剧写悲剧的意图，但我感受不到其中的力量。男主的话痨和只放不收的粗糙表演严重影响了我对故事的共情，后半段的有些所谓浪漫桥段简直是败笔。给痛苦涂上一层所谓温暖仍不能改变其为痛苦的实质，有时反而会掉入自己编织的迷梦之中，我宁愿清醒而痛苦地走向毁灭也不愿带着不明不白的乐观迎接死亡。这是我为数不多的无法认同的经典电影，可能以后会有新的感悟吧。
白描,2016-11-09 18:28:35,,5星,400,这部电影令我印象深刻的地方不是男女主人公之间的爱情故事也不是那些爆笑片段，而是父亲对儿子的父爱，善意欺骗儿子这是在做游戏，二战中的亲情温暖令人动容。
鱼丸粗面,2006-08-01 00:30:24,,5星,511,对生命保有永远的热情
欢乐分裂,2020-01-03 20:38:02,,4星,134,#重看#以意式夸张与写意手法书写一出伟大的父爱（究其真实度与可行性几无意义），以美丽的谎言反衬战争的残酷，在极端恶劣的生存环境中以绝大智慧和勇气营造出一片小小理想国，这个虚构的乌托邦建立于人性中对爱与希望永不枯竭的信仰，因为它们，人类才不至于在这个星球上灭绝。从开场起就稳妥构筑的叙事细节点，一面迅速立起人物性格，另一面则有效散落于后文展开，并将逐渐沉重的政治气候嵌入其中。从街道上的大人物画像到店铺拒绝犹太人入内，从被涂上“犹太马”的侮辱到日益频繁的“请走一趟”，恐怖就是这样一步步渗入日常。“早安，公主！”两次广播示爱，一场不再见的告别，用笑着的眼泪告诉你我爱你。“约书亚，这是一场梦。”夜雾中万人骸骨堆前真实的梦魇。
顾盼,2018-01-26 14:32:08,,5星,362,以为是喜剧，却看哭了好几次。想到了一个问题，如何做一个有趣的人，大概就是乐观的面对这世界，爱自己以及爱身边的人。
宋小君,2012-01-09 10:12:18,,5星,293,二战，犹太人，伟大的父爱。看看人家拍战争片反应民族灾难的角度，甚至比《穿条纹睡衣的男孩》都要好。最后，儿子赢得了那辆坦克……
曼仔,2018-10-01 14:56:53,,3星,57,嗯。。像这个片儿和肖申克的救赎就真的被过誉了吧- -而且这片儿的结构非常奇怪，生子前后四舍五入算两个故事了。后半段也真的无聊，同样是拍集中营，辛德勒的名单震撼多了。
LiuS美,2016-11-19 23:43:39,,4星,317,看完这部影片，不仅仅是感动，还告诉我们痛苦只是暂时的，只有乐观的人才能得到美丽的人生！
铃铛,2018-03-14 12:05:24,,4星,126,没有人的人生是完美的，但生命的每一刻都是美丽的。
结球,2008-02-29 15:56:50,,5星,300,早安我的公主
西楼尘,2013-08-21 22:19:03,,3星,49,不喜欢，很多画面很经典，但是被老师强迫看很不喜欢。当年班主任小丽推荐的电影，还以为是个默片。不过每次翻这部电影，会想起小丽。
关念ヅ,2020-01-08 19:03:03,,3星,39,怀疑最近重映豆瓣高分电影都和我八字不合.....其实不喜欢男主，喜剧小丑式的、一半get不到点的连珠炮般意大利语滑稽话听得我头晕、把孩子用连哄带骗方式隔绝在大人世界外，虽然是个好父亲、好丈夫甚至是伟大的人，但我真的不喜欢，所以连带着整个电影这种和男主一模一样的基调都不喜欢。比如男主编造着复述军官的话，其实是效果很好的，但我想的是“这样不就把不了解规矩的人害死了吗”，本冷酷无情现实主义者还是远离这种喜剧片吧....ps：居然是97年的片子 比肖生克的救赎还晚三年 我以为至少70s的
Ocap,2015-04-05 12:07:00,,4星,64,4.5。我妄想着外头空无一人的时候，某个来自另一时空的红衣女孩，和他手牵着手，从铁箱里走了出来。
Vamei,2012-08-26 21:44:02,,5星,230,真正的强大是精神的强大。在那样一种苍白的环境中，父亲的轻松戏谑正代表了一种超越于苍白规则的精神强大。
喷子,2011-05-15 01:19:48,,3星,53,治愈系的东西必定能为最广大观众群体所接受与喜爱，更何况还背负着这么沉重的历史背景。片子想表达出的积极乐观的人生态度值得称道，前半部分继承了意大利喜剧片的光荣传统。只是能戳着我的笑点却没命中泪点，后半部分略显无脑般的盲目浪漫主义有些廉价，贝尼尼只放不收的喜剧表演同样减分。
掉线,2012-12-11 21:27:38,,5星,178,因为太好，我居然一时不知道该怎么夸它。前半段太浪漫，后半段太残忍，没有刻意的煽情，却让我难过的哭到不能自已………吐血超五星鼎力推荐！！！！无愧奥斯卡最佳男主和最佳外语片！！（居然还是自编自导自演，太牛了……）
April's,2021-01-26 00:50:30,,5星,108,电影前后的氛围对比真得犹如两个片子。乐观浪漫的基度，让我甚至不会去细想集中营有多么恐怖，也让他的离去只不过是犹如烟火绽放的两声枪声而已。影片最打动我的，就是在残酷的战争背景下对死亡和分离是如此看淡自然：基度摆摆手对叔叔大喊了一句“再见叔叔”；踩着滑稽欢快的步子去迎接死亡；甚至女主每次在得知可能发生的坏消息时，脸上除了隐约的担忧，仍有一份从容和坚定；最后妈妈和儿子重逢，儿子欢呼“我们赢了”，旁白音起，影片结束。没有痛哭，没有哀嚎，没有过度渲染时代的悲剧，脱衣，做工，搬铁，每个人都在有条不紊地进行着书写好的命运。那些陪着他在儿子面前演戏的人，同样很伟大。一个反应残酷战争的片子，却如此浪漫，回味无穷后劲十足。
山右一仁,2005-06-25 15:32:27,,5星,239,人生苦短，活在当下
快乐人生,2018-05-23 20:33:20,,4星,60,看得温暖而心酸，在纳粹如此残酷，死亡的阴影里，父亲用乐观开朗的生活态度，陪儿子度过童年。
别人老公,2017-02-08 17:44:38,,4星,71,据说很好，虽然我没看懂，但也不敢给低分😂
Alain,2018-04-15 00:34:34,,3星,30,《美丽人生》之谎言，犹如《沉静如海》之沉默，这未尝不也是一种戴着镣铐跳舞的绝美悲壮姿态；小男孩我见犹怜，但仍觉最后情绪递进仓促没有到位；可能是观前抱着超高期待，也可能是下午的《山椒大夫》花光了我所有的眼泪，这一部竟然成为了我私人观影史迄今为止第一部没有看哭我的二战电影。抱歉三星。
小晗要当锦鲤,2018-05-23 19:32:48,,4星,132,为了看到阳光，我们来到了世上。为了成为阳光，我们存于世上。”
U 兔,2013-03-23 00:12:27,,3星,19,开篇用大段笔墨描写爱情，这部分的用意我在小时候没体会到的。全片和人设有欧洲喜剧的可爱温暖以及“假”，剧情安排有点刻意，近乎理想的童话状态（可能因此才感动了童年的我们）后半部分节奏有点赶，触及历史和人性太过肤浅。电影中的夫妻在现实中也是。看到自行车的三人段还是觉得很感动有代表性
冰红深蓝,2013-08-13 18:51:16,,5星,47,七夕节看了这部喜剧与悲剧交融的经典。贝尼尼自导自演，女主角也是他妻子~获了奥斯卡最佳男主角和外语片~前半部分让我笑cry，各种绝妙的剧情，谜语、钥匙、帽子什么的！中间在院子里的时间跳跃桥段很棒！后半部分见真情，暖人心！贯穿始终的Humor是他面对苦难最强大的武器，这种人生境界是最伟大的
色彩斑斓,2021-09-25 14:42:21,,1星,64,男主神叨叨的表演看得我头疼.. 几度看不下去，故事太假了吧，高分到底怎么来的
米姐起飞,2008-09-07 18:25:29,,5星,140,本来前1个小时以为全都是在讲爱情，坚持下去就好了。
Indecent time,2013-02-21 01:04:52,,5星,154,笑了百分之九十九，最后却心疼的不行。只希望他不要死，好在还有妈妈和奖品在，留给了我一点快乐的泪
Kaito,2020-01-03 21:30:12,,4星,37,那红地毯台阶莫非是《海上钢琴师》同款台阶，那广播留声机莫非也是《肖申克的救赎》同款广播留声机……那同款做爱台词在电影院莫非茫然无存？是的。
亚比煞,2010-02-05 21:08:26,,5星,136,前半部笑，后半部哭
Jasmine_长乐,2021-02-19 11:10:30,,5星,84,很多人吐槽这片子不真实，其实这个世界不仅需要现实题材的电影，也需要如此浪漫主义的电影，正如这个世界需要更多男主这样能带给大家希望的人。可叹的是，永远乐观、善良的人，往往在默默独自承受着这个世界的丑陋和恶意，不会把这些宣泄给他爱的人。
Yugu,2013-04-04 14:24:10,,3星,30,我在想是不是有许多人对本片有误解。这是关于一个乐观幽默的青年的美丽人生，而他恰巧生活在大战年代。这个青年无心于大世界的抱负，甚至他对是非黑白的伦理道德问题也并不以为意，在他心中最重要的是取悦美人和儿子。但灾难降临，他无从逃脱，于是逆来顺受和儿子做了个游戏，人世残酷，你可以选择态度
皮革业,2011-01-30 23:31:44,,4星,35,意大利语好聒噪 嗒搭大耷 嗒搭大耷
石头星,2017-03-09 19:28:47,,5星,133,类似的电影从来都不敢看第二遍，战争太残酷。本片加上亲情，有着表面的美好和幽默，根本承受不来。
邓安庆,2020-01-03 23:04:14,,5星,46,父亲为保护自己所做的一切努力，日后回想起来该有多痛啊。因为太温柔了，所以太残酷了。每想起一点儿，那痛楚就深一点儿。
连城易脆,2020-01-04 00:42:12,,5星,47,用这样一部浪漫温情的电影开启2020年真的很美丽人生了。任何一部位列口碑或者票房影史巅峰的电影都会被认为所谓【过誉】或者【不配】，其实无论是评分还是票房都是无数平凡的观众们一点一滴积累起来的，还是非常佩服贝尼尼能够想到这样一个极致温情的故事并亲自演绎了出来，两次正步走的画面都让我头皮发麻。映后互动真的挺不错的，大家都非常喜欢那份胶片书签啊，和电影一样浪漫美好。和《钢琴家》正面直接展现纳粹的冷酷不同，本片用最极致的温情去衬托出法西斯的可怕。即便在最残酷的年代经历最残酷的事情，有些美好和善良依然值得用一切甚至生命去守护！！！
爱情海,2017-02-11 18:50:12,,5星,54,伟大的父爱父爱重如山温暖的亲情，令人动容。
哈哈哈啊啊啊,2018-05-22 08:58:42,,4星,25,用乐观积极的态度面对困境，或许结果并不美好，但你留下了希望。“早安，公主！”
momo,2018-01-08 17:13:10,,5星,59,父亲用温情淡化了被纳粹阴影笼罩的恐怖。人生在世，美好会永远存在于一个人的信仰和人生选择中…
河堤上的貓,2018-03-14 14:29:58,,5星,120,一般對這種有關戰爭納粹的都不感興趣，總覺得是太黑暗太沈重的歷史，然而這部片父親對兒子以詼諧幽默的方式表達感覺滿有趣的，後面很感人，希望不要再有戰爭發生了！世界和平～
小痕呀,2017-04-01 22:50:09,,4星,16,看的时候一会笑一会哭，善意的谎言真美好，被里面的父爱感动到了。
Konec,2011-10-29 23:17:55,,2星,26,2020.01.05 4k修复影院重看 5-2-1 非常惊异甚而愤怒。后半段为了延续前半段的喜剧风格而选择继续用夸张的表演和谎言来对比掩盖或粉饰集中营的残酷，小男孩的存在如恶意炮制的美好幻想割裂着谎言的世界与本该更多凝视的苦难，到最后这种失效的幽默甚至使得那片雾中的骸骨山比周遭显得更像虚妄。死于机枪下的贝尼尼看似悲情却套路十足，结尾美国大兵开着坦克穿过着囚服的人群则更像是导演的献媚心切对受难者的又一次羞辱，令人哗然。
Panda的影音,2011-09-10 23:45:09,,5星,37,影片的前半段，诙谐搞笑，乐趣十足；后半段，感人肺腑，意味深长！为了维护叙利亚天真纯洁的思想，圭多编造了一个不可思议的美丽谎言，让自己的孩子在残酷的现实世界里也能够“健康快乐地成长”！最令我赞叹的是“善意的谎言”最终还得以实现了！真是让我又欣喜又赞叹！—— 2013.03.22 中国电影资料馆（艺术影院）：和两个朋友（力与佳）一起重温，她俩一个笑得比我开心，一个哭得比我伤心，反而不是看过且很喜爱这部电影的我最有强烈的观影情绪。
橘猫爱吃鱼,2018-05-22 07:51:56,,5星,118,父亲的牺牲换给了儿子对这个世界的美丽的期望，是伟大的父爱为儿子创造了美丽的人生。
然悔悟,2017-03-31 22:53:21,,4星,15,这是一位伟大的父亲，为孩子编织了美丽的谎言。为了不让孩子的童年留下阴影。
倩倩啦啦啦,2017-02-11 18:18:16,,5星,63,一个感人的黑色喜剧
我是大皮哥,2013-11-22 00:19:31,,5星,50,一部《条纹睡衣的男孩》+一部《美丽人生》足以让观众对条纹衣和纳粹产生一辈子的心理阴影。美丽的不是人生，而是那个至死都不愿意拆穿的美丽谎言。看到他们受着那样的苦难，会不可自持地质疑圭多如何能够对残酷的生活保有一颗乐观的心，直到最后坦克开来纳粹倾覆的那刻，才终于知道一切苦难都有了意义
知足,2021-02-09 23:15:40,,5星,60,男主在年轻的时候，给了女主一个美丽人生，在犹太人集中营的时候，给了儿子一个美丽人生。（PS：男女主现实生活中也是夫妻，圭多既是男主，也是导演）
托尼·王大拿,2020-01-03 23:52:01,,4星,25,大银幕重看所带来的情感冲击力远胜曾经的那个15英寸电脑屏幕，最后无法控制住泪腺。但这确实是部矛盾的电影，其中蕴含的简单、美好、残酷下的荒诞与温暖如此真切与强烈，会掩盖住本身的诸多缺点；但一旦意识到这些缺点，又很真心说出瑕不掩瑜并给予忽视。
已别去年秋,2014-07-08 16:45:10,,2星,30,我更喜欢《一个快乐的传说》这个名字。讲的是集中营里，犹太人父亲为了保全儿子所做的一切。但是我完全接受不了这种表现形式。讲犹太人，我更喜欢《辛德勒的名单》，讲父爱和牺牲，我更喜欢《完美的世界》。意大利人拍的电影，往往过度注重浪漫，漏洞却跟马蜂窝一样多。前半段有个别笑点，但是总体来说太聒噪了。后半段，从进了集中营开始，完全笑不出来了。哭也哭不出来，因为剧情到处都是漏洞，完全没法代入。同时，男主“胡作非为”那么久都没死，会让我产生一种“原来纳粹也没那么坏啊”的错觉，这部意大利片，算不算对纳粹的一种洗白？
赫恩曼尼,2012-06-29 16:15:53,,5星,79,尽管世界充满战争的硝烟和残忍的争斗，还有一个童话的世界等着我们。我想要，生活在别处。
店长,2021-08-19 23:35:01,,5星,146,前半段是美丽，后半段是人生
小十三,2018-05-21 22:41:03,,5星,43,世界再残酷，人生再不完美，总有人能活出精彩，废墟上的雏菊，一样坚强又美丽
人气甜辣炸鸡,2017-05-03 12:44:24,,5星,37,没有人的人生是完美的，但生命的每一刻都是美丽的。 无论什么样的灾难降临，只要生命还在，生活始终要继续。 活着，就是最美丽的事。
狗富贵,2017-05-03 13:19:06,,5星,59,忘不了父亲被枪毙前的鬼脸。
尽欢,2018-04-20 17:45:26,,5星,25,早安。我的公主。充满温情的一部电影。虽然世界是残酷的，但是还有那么多可爱的人。
陆钓雪de飘飘,2015-08-04 03:41:09,,5星,34,以爱和幸福铸成的谎言，其代价为生命。最大的谐剧亦即最大的肃剧，这才是人生，公主。
阿vi子,2017-08-14 20:01:06,,5星,47,早安！公主！
LORENZO 洛伦佐,2011-04-05 03:46:23,,5星,45,美丽浪漫得让人潸然的一部电影。平静的隐忍的乐观的人生态度。美丽得让语言失去能力。
晚不安,2011-10-22 15:47:15,,5星,21,圭多，就像他自己说的，他是一个王子。他的神奇在于用一张灵巧的嘴和乐天派的性格为妻子编织一个美妙的梦；在于让儿子身处集中营却像游戏一般快乐；在于生命的最后一刻，仍然快活地做出一个鬼脸，这实在是对人生的最大戏谑。这个故事不需要结尾，孩子依旧清澈的眼神，已经足以说明一切。
北城南笙,2018-05-23 20:13:10,,5星,25,父爱往往都是平凡却伟大的。为了不给孩子留下心理阴影，他骗儿子说这只是一个游戏，在接受集中营折磨的同时依然每天对儿子报以最灿烂的微笑，哪怕是生命的最后一刻，他依然给儿子留下欢乐的印象。
sharon,2017-03-18 21:07:50,,5星,32,有时候会深深的被电影人物所打动，因为如此纯粹的乐观和善良在现实里看不到
