用户名,评论时间,IP属地,评论分数,有用数量,短评内容
SleepWalker,2025-02-09 22:27:13,北京,3星,0,比第一部升级，在场面上做足，节奏在线，类型由纯恐怖片转型为恐怖动作片，传统的小分队猎鬼模式屡试不爽，但各段情节仍然俗套，所以仅仅提升爽度，但不耐看，而这已足以成为泰国去年票房冠军。
ILM,2025-02-08 18:24:57,辽宁,3星,0,男主挺帅肌肉不错，片子恐怖性一般，水平跟第一部差不多吧
甲🎹,2025-02-09 21:55:26,北京,未评分,0,不打分了，堂堂恐怖片，都没有让我专心看..
不姨妈的大白色,2025-02-08 18:21:05,上海,4星,1,大哥的吐槽真的很好笑“作为一只鬼你话未免也太多了”，第三部其实可以拍小妹长大之后因为小妹真的未来可期！以及可以物理攻击敌人鬼真的很好笑。
φ,2025-02-10 12:52:35,上海,4星,0,第2部前半段恐怖氛围足一些，中段笑点变多，中后段有点supernatural既视感，故事完整，还是好看的！
微笑迦朵,2025-02-11 15:48:58,上海,3星,0,字面意思的“反派死于多嘴多舌”。第一部算遇鬼篇，这部是打鬼篇。泰国“赵又廷”因职业升级似乎比第一部帅了点。不过一家人齐齐整整，只有妹妹鬼笑的结局有点惨，要不第三部招魂去吧。
赵梦,2025-02-10 21:03:54,辽宁,3星,0,好好笑的一部，里面的鬼一出现就咧个大嘴笑，笑惨我了。
mayu2862,2025-02-10 22:26:17,四川,4星,0,明显比第一部有进步！剧情更合理更紧凑，场面也大一些！就是问题在于为什么那个女鬼非得找他们家？因为他们家人口多？
小侠来了,2025-02-09 18:05:09,浙江,3星,0,相比第一部的鬼上身，第二部却突变成了捉鬼大冒险，恐怖气氛-1，血浆度+1，见仁见智吧
kukusyaoran,2025-02-08 14:26:36,浙江,4星,0,太棒了！大爽片～～～什么逻辑啊剧情啊都不重要，快意斩恩仇，干就完事，用啥脑子嘛，国产编剧看看
忘我洗澡,2025-02-07 18:40:47,广东,3星,1,泰国的鬼也变菜了啊。都当鬼了为什么要执着于实体和附身啊！这仅仅是对于“鬼”的设定的吐槽，但是这部电影可看性还是不错的，也不恐怖。比上一部好很多！
安澄素,2025-02-09 21:49:55,河北,3星,0,比较俗套的鬼片。
为清欢,2025-02-09 20:01:10,上海,未评分,0,结合第一部来看，到这部算一个完整故事结束。不过就是偶尔血淋嗒嘀一下，一惊一乍地，没啥恐怖，第二部就是一个捉鬼怪的过程。
siwennen,2025-02-08 18:38:50,山东,3星,0,故事很简单流畅，就是这鬼啊不吓人，就像个有点超能力的人类
吞云吐雾狮子兔,2025-02-09 23:45:54,新疆,4星,0,确实比第一部好太多了，不过拿下本土年度票房冠军有些意外。
一问三不知,2025-02-07 21:58:38,广东,3星,0,男主依旧在展示自己的身材，第二部是关于哥哥给妹妹复仇，全家人走出来的故事，有些片段还可以，有一个反转，还不错，我的感受是，终于喵的把这个玩意给灭了。
BOOK思议,2025-02-06 22:36:34,辽宁,4星,0,还是挺好看的，比第一部高级多了
不三不四去上班,2025-02-07 22:22:14,黑龙江,3星,0,这一部相比第一部平庸了不少
赛门,2024-10-16 01:41:34,泰国,3星,4,一家人➕三一律➕死神来了，很有趣的设定，场景化恐怖氛围的塑造也比较考究，包括也致敬了下《闪灵》，男主挺帅，工具人太多，偶尔出现狗血笑点。
捡球大师Wy,2024-10-13 19:23:07,泰国,2星,4,"分全给男主的鸡肉-,-"
董谋谋,2025-02-09 11:50:45,山东,3星,0,🤯好猛啊这鬼，猛得一批，猛得不讲道理，全程高能猛得我直嗷嗷……要是在电影院看能给我吓漏两滴😨……猛得邪性啊，就纯猛，除了猛想不出别的形容词了，猛鬼……舌头挺性感，就是黢黑，真猛……🙀
山那边是海,2025-02-10 12:56:08,重庆,3星,0,可以看看
592melody,2025-02-11 00:27:08,陕西,4星,0,剧情起伏，还挺好看，算是东南亚恐怖片里比较出色的。
David Pledger,2025-02-08 20:31:24,吉林,3星,0,比第一部好看点，但这部续作丝毫不恐怖。整体中规中矩，稍微有点拖沓，氛围也一般，没有预期中的好看。
含灵巨贼,2025-02-09 15:50:33,天津,3星,0,前半部分森林冒险，马马虎虎可以当泰国民俗片看
