用户名,评论时间,IP属地,评论分数,有用数量,短评内容
playdead,2010-09-04 23:51:09,,5星,306,观影过程中，不禁感慨自己原来就是那种被社会被教育体制化，唯利是图，完全不知道自己真正要做什么的人。我试图努力回忆起那一个时间点，那个曾经还未被体制化的孩子的雄心壮志，却发现怎么也想不起来。我感到很悲哀。
周男神的迷妹YL,2018-01-14 22:31:15,,5星,157,第一次看是在高中的时候，老师课堂上挤时间用多媒体放映班里同学集体看的，这才是真正的喜剧。喜剧总是有一个悲剧的内核，看完这部剧你笑了，这还远远不够，你应该对人生对社会有所思考。很庆幸这部电影做到了。经典当之无愧！
办公室甜心,2011-12-12 23:53:36,,5星,217,天哪是谁想出个这么狗屎的中文译名的，以及难看死的海报害我一直没肯看这部电影，差点就错过了如此精彩的印度片.................太棒了啊充满基情【？】又极其励志，人设真是饱满又可爱，剧情也是丰富又不啰嗦，两个多小时一下就过去了，走出电影院心情真好呢！
不错我就是神,2018-01-09 16:10:46,,3星,63,还不错的
说点什么,2018-01-17 00:06:59,,5星,89,第一次对印度的影视作品改观。这部电影作品有逗乐的地方，也有一些励志的地方。因为每个人都有着自己对电影的看法。而我只是想推荐给其他人去观看而已。千万不要被名字忽略这部好电影！
September,2010-10-28 00:16:38,,3星,101,情节起伏好大，前面还唱歌呢，后面就有人挂掉了；刚挂掉呢，又开始唱歌了......只能说印度人民心理素质真好呀
杨迪,2010-10-07 01:40:07,,5星,127,当你不断追求卓越，成功就会不知不觉追赶你。
艾小柯,2010-08-20 02:31:35,,4星,65,非常完整的商业电影，十分cute
起床，吃饭,2015-09-23 13:53:38,,3星,61,要是把中间那几段雷人的歌舞删掉，可以多打一星。
匡轶歌,2013-07-18 22:34:24,,3星,56,看得我悔恨交加，仨小时啊……人生苦短，干点啥不好……
S,2010-12-04 14:29:12,,5星,104,"很好的诠释了“再多独自牛逼的时光,都比不上一起傻逼的岁月”这句话！绝对值得一看。"
清欢,2017-06-07 14:59:18,,5星,67,英语课上，和我的高中同学们一起看了这部影片。别人眼中的他真傻，但只有他自己知道自己坚持的是什么，追求的是何物。天才，总是特立独行的，敢于闯荡，一往直前的。
shield,2017-02-11 11:57:03,,3星,47,并不觉得搞笑。。。
Ruby超人小姐,2010-10-02 13:06:32,,5星,93,男主角长得像吴彦祖。
呆萌小七,2018-02-26 23:40:02,,5星,53,三傻大闹宝莱坞好看，很喜欢，值得五星
熊阿姨,2010-08-12 01:15:05,,2星,1449,受不了了三个小时！！！墨迹的必须快进
godannar,2011-01-10 16:31:05,,4星,58,脸谱化做得有点儿过了，除此以外都是宝莱坞娱乐电影的新范本。本片的教育意义只可供应试体制的产物们发泄一下悲愤，千万勿上纲上线。没经过极大痛苦淬火的理想主义什么也斩不断。
刘小黛,2010-09-01 21:01:35,,4星,38,生存就是场赛跑。我们生活里缺失很多这样的丰富与精彩，所以觉得电影好看。我们是容易对社会失望也是容易被感化的一代。
梦梦梦梦,2017-02-28 22:31:50,,4星,37,超级搞笑，为三个人的友情点赞。良心制作
亵渎电影,2011-12-08 20:50:09,,4星,39,我是最后一个看的吗？文章汤唯几个人的配音很给力，不知道原版会不会更给力！故事情节和手法似乎没什么特别的，但紧密编排的剧情桥段还是很让人感动！还是那个道理，类型片尽本分了，也就成功了。三个小时的时间，论票价赚了。★★★★
滚滚的麻麻,2017-08-15 00:30:08,,5星,44,算是第一次接触的印度电影，汗叔厉害。
何处相思明月楼,2018-01-29 11:28:14,,4星,44,看完摔跤吧爸爸看的这部，这部电影给了我一种很不一样的活出自己。
理想多钱一斤啊,2010-12-06 17:57:49,,5星,41,我就知道这电影会合豆瓣网友的口味
米粒,2010-10-24 11:19:49,,5星,36,太精彩了，太感人了，笑了哭，哭了笑，笑了又哭，哭了又笑。这就是真正的好电影。。。
巽,2011-02-03 22:02:02,,3星,56,把说教挂在嘴边毫无意义。
陆钓雪de飘飘,2015-08-20 20:33:26,,3星,36,只有又会玩又能考第一才是真有意思呀，人生那么虚无，要是不能充分在狂欢的基础上喷发自己的激情与潜力，那多对不起自己呀。所以去哈佛拿六七个博士学位是要的，霍乱时期的爱情是要的，不生孩子是要的，每个人做自己想做的事情，做到极限而不要看庸人怎么看待。这样才是自己的人生，我的人生是靠近上帝
蚂蚁没问题,2010-08-13 00:01:57,,5星,94,忽略那个傻瓜名字吧，不然你才是傻瓜。兰彻，不，总爱说一切顺利的望杜先生，你像风一样自由，像风筝一样翱翔，你太伟大了，请接受我们谦卑的供奉
九尾黑猫,2010-09-21 16:07:04,,3星,30,三星半。很可爱，但是有点狗血，绝对化了一些东西。在现实的世界，理想总是最亮的明星。可是很多人不缺乏理想，只是缺乏坚持下去的勇气。这种勇气淹没在过于戏剧化的故事中了
他奶奶喉结大,2010-12-11 02:10:12,,5星,47,黄秋生穷到去印度接片子。
粉先生MrPink,2020-03-15 17:15:49,,3星,32,太理想，套路，商业，歌舞分割了剧情，讽刺教育自己却在说教。
雨果,2016-12-05 11:35:01,,5星,42,道理浅显但知易行难——试问有多少人在择业上能真正做到从心所欲？而填鸭式教育，在中印这样的人口大国，更是一百年都不会改变的基本法。节奏感不错，是个精良商业片。
🌙🌙,2016-11-14 12:28:02,,5星,50,这部剧堪称经典 笑中有泪 令人深思 看了好几遍 每次都是笑着笑着就哭了 它所反映的印度教育问题 在我国也是很普遍的 所以颇有感触 这是我看过最棒的喜剧了 而且剧中那些舞蹈和歌曲都超级好 每次遇到啥的时候 都会摸着心说all is well
