用户名,评论时间,IP属地,评论分数,有用数量,短评内容
arrcmis,2024-12-21 16:26:43,北京,4星,458,这是一个正义虽迟但到的故事……在维护司法公正的同时，也在为普通人申冤，看着大法官高高在上喝着几万一瓶的红酒，把普通人的案子当草芥一样的处置，真的是又气又恨……好在正义还是到来了……甄子丹还是老当益壮的，几场打戏干脆利落，高潮的地铁打戏也是拳拳到肉，动作戏都还挺精彩的……推荐爱看动作戏的朋友们观看……
大海里的针,2024-12-21 16:06:37,北京,5星,524,超出预期，文戏和打戏一样精彩！甄子丹自导自演了最适合自己的角色——警队里面最能打的，能打的里面最懂法的，文能法庭抗辩，武能街头混战！有几个镜头让我梦回《杀破狼》，希望甄家班能继续扛起香港动作片的大旗！
女神的秋裤,2024-12-21 16:40:25,山东,4星,291,叶问为了普法打了一百多号人，希望叶师傅可以一直打下去！开头第一视角的动作戏小惊艳一把，最后一场地铁大战非常有范儿，血腥度再上来的话直逼《突袭2》那段了。文戏也不落下风，和武戏相辅相成，老戏骨演绎都不错，细节很有设计，情绪调动也到位，难得文武双全。
乌鸦火堂,2024-12-21 16:01:47,北京,4星,364,警队人员改行当检控官，动作版的《正义回廊》，文戏部分讨论了程序正义与实体正义的间隙，明知案件有问题，但人家证据确凿/不足，法庭只能选择判决/释放。至于这个“间隙”如何抹平，就交给领衔主打甄子丹，既然法庭上搞不定，在下也略懂一些拳脚。动作指导大内贵仁是甄家班的，几场动作戏设计的挺有想法，既符合电影现实化的底色，也考虑到演员的实际体能，街头斗殴，面对围攻边撤边打，威压和环境因素落实的不错。但最后地铁打斗，蓝光冷色的风格，是致敬自己的《杀杀人·跳跳舞》，然后瞬间变身《导火线》马军，是甄子丹这几年发挥最好的一次。
方聿南,2024-12-21 15:57:25,北京,4星,244,港产罪案动作片的天花板水准，案件完全避开花里胡哨的反转，极度扎实且纪实地呈现调查和庭审，针锋相对的嘴炮对抗中三五不时有幽默调剂，文戏张力目不暇接。甄子丹进一步革新了动作表现，遇敌时克制的表情与几乎剔除多余动作的防御姿势，造出胸有成竹的气势，击溃龙套时远超对手的反应速度与不拘一格的攻防带来逼人的压迫感，单挑强敌时从对方密集攻击中窥见破绽而瞬然攻入的智巧令人击节，与多人地面翻滚缠斗的长镜头展现了整个武行班底强悍的体能与配合执行，辅之以极度精良的摄影和音效（地铁那段借用惊悚片手法简直出神入化到惊艳），说是开创了新语法也不为过。一部中老生代挂帅的电影，竟透出青春励志片般的振奋，甄子丹自嘲“我年纪大了”，郑则仕接了句“没事，我还年轻”，看着如此坚不可摧的乐观与活力，无法不让人对这帮老港星竖起大拇指。
拔剑四顾心茫然,2024-12-22 11:01:41,河北,2星,39,对本片抱有任何动作类型片期待的人都应该转身就走，因为你绝对不想在年末看见一部无笑料纯享版《第二十条》。甄子丹在本片中的形象简直伟光正到如同一尊铁打的雕像，不仅公开顶撞上司并且直接和大领导打成一片：如果对方不讲理，我将重拳出击！甄子丹对动作场面的想象力太差了，号称以一敌百的大场面是帐篷代替甄子丹完成的，既然不知道怎么拍，干脆躲起来一顿喷烟雾敷衍了事。最后一场电车连战给人的感觉只有硬、莽、痛，完全看不出一个以动作戏码见长的演员所应该具备的空间意识，如果将扶手、座椅、车窗、隧道这些物理上的动作设计点位交到洪金宝或者郑保瑞手上，不知道要连贯多少倍。现在只有一团乱战，遍地玻璃，蛮力血腥，大内贵仁也救不了。大量密集的文戏，一度怀疑是《寒战》路数，结果证明我高看他了，他不过是想拍一部律政司暖心宣传片。
同志亦凡人中文站,2024-12-27 10:37:32,四川,3星,65,剧本太大男主金手指，原以为甄子丹转去律政司是弃武从文了，结果变成了升级版的武讼师，以一敌百的戏也敢拍？好吧61岁花甲老人再就业，基本就没其他人什么事了。电影倒是提供了香港法制的一个有趣切口，能窥见步步为营的司法纠错。
Lidan.HK,2025-01-31 22:33:51,山东,4星,50,一个六十的人，有大房子没老婆没车子日日坐地铁，老爸住养老院，自己每天为香港司法公正操碎了心，他应该去选特首
🌵🌵,2024-12-19 21:07:52,四川,2星,38,两星半，文戏全面不及格，《杀破狼》《导火线》哪有那么多大道理念个不停，不知所谓的文戏（谁能告诉我单位同事给甄子丹买啤酒后分走一沓文件他们在干嘛？）对一部动作片节奏的破坏真的很致命。
张兮兮,2024-12-21 16:25:08,广东,4星,111,看到吴镇宇要单挑甄子丹，差点笑出声，完全想不到来这么一出，战力悬殊又让人期待，结果就是没几个回合就被制服了。以97为界线，许冠文的法官是高高在上旧式规则的权威，吴镇宇的检察官属于在新旧之间游走，各方关系处理得游刃有余，甄子丹由警队转入律政司，算是新鲜血液带着信仰来的。他发现孤军奋战是不行的，就很聪明地去激怒吴，调动吴内心的血性和正义感，把他争取到自己这边，才有结尾的通力合作。之前一直以为吴是反派之一，潜藏的蛀虫，这点处理得还蛮妙的。
