用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Q。,2008-05-18 01:10:33,,5星,607,叙事节奏清晰流畅，毫不拖泥带水；Léon、Stansfield、Mathilda，几个主要人物个性鲜明； 加上如同MTV般快速切换的画面，影片从头到尾紧抓观众的眼球，非常难得。更因为此片，让全世界认识到了娜塔莉·波特曼。★★★★☆
microbentley,2022-07-05 12:05:50,,1星,415,大家都没有发现这是炼铜吗，原来的剧本里还有床戏，1星都不想打，娜塔丽波特曼后来遭到了无数炼铜癖的骚扰。
OnJel.,2007-02-12 06:14:09,,5星,814,找不到比这个更喜欢的了。
LYX不忘初心,2018-01-31 20:59:13,,4星,138,I love three things in the wordthe sun the moon and youthe sun for morningthe moon for nightand you forever
Neophyte,2021-08-05 00:41:49,,1星,234,演员演绎或许很棒，但情节设计未成年小女孩迷恋甚至引诱大叔令人不适。看到豆瓣这么多人把这部电影奉为圭臬，我愿称之为国内显性恋童癖和隐性恋童癖的集体高潮。
你看起来很美味,2012-02-26 15:30:18,,5星,412,我希望你没有说谎。我希望在你内心深处真的对我没有一丁点儿感觉。你最好对我一点感觉都没有。因为只要有那么一点点。你将会后悔你什么都没有对我说。我爱你，里昂
王xx,2007-12-16 21:46:03,,未评分,745,我妈说：这个小孩儿怎么办啊，她又不想学习！她又学不进去！
雨果,2016-12-18 23:05:16,,5星,312,一个行事一板一眼有条不紊的杀手邂逅了一个激越鲜嫩的小生命 原来之前的悠悠岁月自己从未活过 一个反叛哀怨愤世嫉俗的弱小灵魂荡涤了一个沉睡中的王子心灵 从此一塌糊涂糟糕透顶的生活有了希冀 谁说年龄是问题 谁说身高是距离 小王子被他的玫瑰花驯服了 小女孩从此有了兰花作伴
熟鱼鱼,2017-03-05 14:28:58,,2星,308,很怪，感觉从头到尾没有亮点。看别人的评价，说要结合时代来看，在那个时代拍这样的动作场面是惊呆众人的效果。好吧。然后，大叔和萝莉在我这儿确实没有任何萌点，我还是喜欢共同成熟，你我相当的感情，不要和我说什么里昂心里是12岁小男孩，我一百万不信
东风橘,2024-04-10 14:50:42,上海,1星,120,一部十分过誉的包裹有毒内核的“借鉴之作”伪文艺真商业片。故作高深的装吊男主，从第一秒入镜就不断展现性暗示的儿童女主，随时随地发情的黑帮大佬，007一般的奇幻动作设计……在翻拍永远比不过原作的豆瓣能打出高于原作《女煞葛洛莉》2分的分数，怎么不是恋童癖的狂欢呢。
云巅,2016-11-05 20:42:07,,5星,345,"首看《这个杀手不太冷》是原文，影片的对话连续几日回旋于脑海，Is life always this hard, or is it just when you're a kid?Always like this很少有动作片能如此深度地诠释人性感情的缺憾，个人认为影片近乎完美。"
与非门,2024-06-23 13:42:53,广东,5星,227,不关注作者取向问题，但是电影里面娜塔莉的角色跟lion就不是爱情，是比亲情和友情羁绊更深的感情，这是我的理解
🐰,2023-01-25 14:49:29,上海,3星,274,经典是经典 不过但凡没有那条奇怪的love line我都可能加个一星… 真的很讨厌一切带恋童癖倾向或者美化恋童癖的作品
莫水田,2014-01-26 00:05:38,,5星,226,一直没看这部片子，最近才看了。什么也不说了，就是深刻的感动。这是西方版的殉情电影。其实我们有多少人是可以做到不殉情的，不在每时每刻里磨损自己去成全那个情字？电影里的牺牲是几下重锤，日常的殉情是长久的磨砺，成全着或悲剧或斑驳的传奇。
十一年夏至,2024-04-29 01:48:12,江苏,1星,141,以前很喜欢，但现在我感到不适，一股ltp的感觉
南笙,2011-10-14 22:28:54,,5星,316,遇见你之后，我的胃再也不痛了。
璐baby,2017-03-04 19:58:04,,5星,211,里昂很有魅力，一起杀人的时候小女孩很酷，反而大叔比较呆萌，很可爱，最后真的太可惜了，里昂要逃走的时候，明明可以感受到他的渴望，他想要一段爱情想要不再孤独，却到底还是没能享受到
文泽尔,2007-09-19 22:44:05,,5星,125,这不是父女线，分明是洛丽塔。爱他的眼睛，他们的屋子。神经兮兮的流氓警察最终自然没有落好，不过那个孩子她也已经长大，她的怀里抱着仙人掌，刺得乳头上酸酸的是绒毛般的细刺心芽。
小脑瓜在想啥呢,2021-12-08 13:31:19,,2星,310,美化恋童癖的片子 在九十年代或许可以 放在2021年可就太有问题了 里面很多小女孩镜头都充满性暗示 令人不适
sosora,2023-04-07 21:22:41,北京,2星,255,典型男性叙事，老白男的意淫产物，主要人物立得生硬，明明有更深更复杂的情感关系可以挖掘，却选择了最猥琐的那种😅男主只要在感情上木讷笨拙就可以拿到道德上的免死金牌，各种擦边和暗示镜头非常直白地表达出男导演对未成年女性的凝视和意淫，整个故事都浪费了娜塔丽的灵气。高情商：不杀女人不杀小孩。低情商：女人小孩不能上桌吃饭。
爱神,2023-01-15 11:31:18,江西,1星,150,ltp圣经为什么会在豆瓣top10？我实在不能理解，也别说男女主之间的感情是类似父女之情，你和你爸爸相处会像这样吗？导演本身就是个ltp，其作品更是不言而喻。
朝暮雪,2012-08-07 15:40:28,,4星,95,最浪漫、最感人的大叔配萝莉。
在逃冰美式,2021-01-03 23:10:38,,3星,361,这部能top4是我心里的谜团
潇湘烟雨,2018-03-06 19:15:34,,3星,364,评分超高的影片，看完毫无感觉，明明很一般啊，嗯，一定是我不懂得欣赏
春天来的很慢,2022-07-23 10:30:07,,1星,158,恋童滚😅😅滋养多少十几岁不懂事的女生和“大叔”谈恋爱的欲望
王小邪,2008-02-02 15:59:46,,未评分,383,复杂的社会关系里总有绽放如花的感情
