用户名,评论时间,IP属地,评论分数,有用数量,短评内容
嘟嘟熊之父,2024-08-16 12:44:38,北京,2星,456,看《柯南》像在看日本失落停滞的三十年，变了又似乎没变。推理过程塞满符号学文物学地理学，充斥着掉书袋的乏味与油腻。相较叙述语气的混乱，更糟糕的还是多而无用的人物亮相，形象尚未建立便匆忙终止任务，情感段落极尽敷衍毫不走心。
苍海王子,2024-04-12 12:43:34,中国香港,1星,687,青山刚昌，立刻退休是你能为这个社会做的最大贡献。案件写得稀巴烂，朗姆所谓的这二号人物出场之后一次任务都没有成功过，正派不是亲戚情侣就是前同学前同事，有裙带关系的人跟养猪一样指数级增长，屁大点事要不就故意不说要不就一次一次失败无限循环拖时间。每部剧场版至少50%时间都在走一模一样的流程。好好的一部推理漫，剧情和宣传的重心全部放在卖情怀、党争、搞基、扯cp上面，只会满足读者最低端最生物本能的需求。你这么想赚钱，可以出个用警校五人组当主角的男友养成手游啊，在原作中恶心普通读者干嘛呢？认真追过名侦探柯南是我一辈子最后悔的事情之一。
阿衍.,2024-08-17 21:07:40,四川,2星,194,青山刚昌爆炒各cp，而我只想爆炒青山刚昌
困扁头,2024-04-13 22:15:11,日本,2星,234,除了最后认亲，老爹出场秀一下黑礼服之外完全没有看的价值…内容太支离破碎了
雨宫图,2024-08-16 12:17:44,上海,4星,103,大笨钟vs函馆夜景，大笨钟疑问的一败
Manatsu,2024-04-12 13:21:12,日本,5星,377,一点也不好看，只不过每次开场音乐响起都会哭罢了。/分镜有变好大概是我的错觉
PrayerX,2024-08-16 22:01:15,江苏,2星,141,详见长评。核心解谜剧情又臭又长又扯，登场角色繁多琐碎乱七八糟一锅端，柯南在缆车绳索上滑滑板和服部在直升机翼上方玩剑道令人哑然失笑。剧情非常虎头蛇尾，刻画了一段中森警官中枪后快斗的愤怒和淋雨的剧情，但是快斗陪着青子看到中森醒过来这段剧情就算完了，毫无紧张感。这种没头没尾的小片段在本作里随处可见。“百万美元夜景”的头衔只是一个噱头，大约霓虹人有自己的小红薯。最神秘的剧情之一是凶手老头的杀人动机，霓虹人又有自己的大如传。但是本作的快平新（顺序有先后）这三个人的cp还是挺好磕的，和m23一样柯南已经懒得对弟弟说下次一定要抓住你了，这次连服部也默认和放置快斗在各个地方cos大叔到处乱跑，在服部看到基德真容的30s里，你是在为终于看到基德的脸而高兴，还是在想这个人怎么这么像工藤？你们仨把日子过好.jpg
线粒体夏娃,2024-08-20 20:20:30,江苏,4星,91,基德还是太全面了
昜,2024-08-16 20:19:08,新疆,3星,301,这个b算是给你们装完了  一人一会儿非常公平
Люда,2024-08-24 17:44:12,浙江,3星,241,看到男配光脚站在神风轰炸机上和平次拼刀我作为同人作者认为所有作者都应该学习这种只顾自己爽完全不管观众死活的创作精神
板球玻璃,2024-04-12 19:18:55,安徽,1星,643,结局我都猜到了，服部平次和白马探也是堂兄弟，小兰和青子是堂姐妹，和叶和园子是表姐妹，琴酒是新一的小叔，贝尔摩德是小兰的舅妈，乌丸莲耶是元太的二舅公。别画了，求你了。
