用户名,评论时间,IP属地,评论分数,有用数量,短评内容
朱欢尘,2024-05-31 22:14:11,广东,5星,2589,很久没有在电影院哭到变形了。哭到变形的意思就是整个人抓心挠肝，缩成一团，抱脑袋，抓头发，涕泪横流，嚎啕大哭。总之从特鲁迪第一次在水中展现天赋开始，她在水里的情节我大部分都在哭。走出电影院的时候有女生带着两个小女孩来看，和电影情节真的完美呼应。优秀女性就像灯塔，照耀的永远不只是一代人。而且后来我查了资料，这个电影的编剧也是为了自己的女儿拍的这个电影。怎么说呢，我觉得全世界的大女孩小女孩都该多看看这样的电影。
黑色潜水艇,2024-06-15 00:28:13,浙江,5星,2480,《老娘与海》就是最好的译名。祝我们都能渡过自己的海峡。
momo,2024-06-10 16:42:58,浙江,4星,471,原来我不是讨厌英雄主义叙事
豆瓣路人己,2024-05-31 12:38:01,浙江,3星,836,好久好久没看过这么四平八稳的传记励志片了，放在这个时代，都怀疑是AI写的剧本。但恭喜它，能入选《人生最不能错过的100部励志电影》榜单！
伊恩桑,2024-06-01 20:30:43,中国香港,5星,2085,想起了自己从1k都跑不下来到一步步开始跑再到首马，从头哭到尾
Diane,2024-06-02 12:25:55,北京,5星,1512,《女人与海》。排片很少，看的人更少，第一次包场看电影。姐妹，母女，女教练，点起篝火的女性。妈妈强硬支持女儿游泳，却在女儿走得太远超出了自己的想象时的恐惧，突然非常非常共情，想到了我的妈妈。她那么支持我，却也被困在从小就施加在她身上的枷锁里，企图理解，难以理解，但她还是爱我和尊重我的选择。以及最后失去听力和教听障孩子游泳，啊啊啊啊
葱油萝卜干,2024-06-02 14:11:03,江苏,5星,1296,好喜欢好喜欢 坚持让女儿们游泳的妈妈 认清现实但支持妹妹突破现实的姐姐 带来正确启蒙和精神指引的教练 传承偶像精神的小女孩 在山崖上燃起篝火的女人们 好久没有看过这么好的女性群像了 坐在电影院里从头哭到尾 妈妈的演技太好了太有感染力了 被那些男人否定打压陷害都无法阻拦Trudy做到“不可能的事” girl power就是最强大的QAQ
菠萝气泡冰,2024-07-09 20:42:42,辽宁,5星,1169,曾经用来烧死女巫的篝火，这一次由女性点燃为她们的同伴指引方向。
Mr. Infamous,2024-05-26 19:06:25,北京,5星,784,看百年前对女性的偏见乃至仇视，被钉上耻辱柱反复鞭笞，总让人在对榆木脑袋与作梗小人的恼怒怨憎中得到某些平静，就是那些不合理的阻碍，那些不见底的黑暗，会有越来越多的人带着油灯，甚至点燃篝火来一同驱逐，哪怕是已对现实失望透顶的我，也还是能从这部电影得到一些光亮——也许，我们不需要百年那么久。原本以为是《奈德》平替，但在真与假的乱流中，竟可如此稳当地用简朴却到位的刻画，把人渡到灯火通明的终点，再回想，从第一次比赛反超开始，有太多忽而触动心窝的段落了。很多喜欢的演员共同炮制出这样一个故事，而原本没喜欢上的，比如雷德利，那笑容是再也忘不掉了。四星半。
👠,2024-06-09 18:49:24,上海,5星,809,终于明白为什么女性之间的互相鼓舞不会像“兄弟情义”那样引起我的反感和不适，因为你不会看到一群中年女性顶着啤酒肚和秃头坐在夜市热泪盈眶地慨叹自己年少时的意气风发，也不会看到一个年长女性以过来人的身份对一个年轻女性居高临下地说教。女性情谊的质地柔软干净，一个女性帮助另一个女性，不是因为我想让你听从我的指导来证明我是对的，不是因为我将你视作替我完成梦想弥补遗憾的客体，只是因为我希望你成为更好的你自己，仅此而已，这种帮助是纯粹利她的，不掺杂任何自恋。观影时脑海里反复回响的是话剧九人《春逝》里一个女科学家对另一个女科学家说的话：世人的眼光或许分男女，微小的原子与核子却不会。
柠檬芒果茶,2024-07-20 14:45:05,江苏,5星,602,女人群像：有主见的妈、不嫉妒的姐、独立的教练-in the end女主
小年左,2024-05-26 16:41:24,北京,5星,505,不出所料Disney再一次zzzq，但这次并非贬义，是恰到好处的正确，女性理应被正确地看见和对待。英文直译是年轻女孩和海，中文片名《泳者之心》我更喜欢，无需强调什么，真正的勇士不听规则和判断，冲进海里去游就好。资本的加持下，标准又标致的工业化影片，用舒适的文本和愉悦的视听适时推着你去感动或紧张、振奋和欢呼，观众们大部分都有落泪，我也是，几乎从开头母亲开口说“因为她们不会游泳”就已经开始难过，久违了，这种大银幕前并不油腻的赏心悦目。
sunrising,2024-06-21 22:35:04,上海,5星,643,感谢祖师奶 我们女性们会在各个行业发亮
匡轶歌,2024-07-22 11:16:52,河南,4星,160,有人在评论区抱怨片中把男性角色塑造的太反面，敢情呢……我寻思他们也知道诸如此类的行为、态度、观念、行事与言语的方式属于“反面”啊？片中出现的各种男性人物，他们的嘴脸与表现，哪个不是女性毕生之中不得不面对的“日常”？拍出来，您们突然认得出这叫“反面”了？
Sirius,2024-07-05 11:45:48,浙江,3星,468,工整的商业女性主义电影，意图以最低门槛获取最大共鸣。因此才会有如此平庸的剧本、脸谱化的人物和刻意的金句式台词，历史的异质和复杂被抹平，观众被包裹在熟悉的当代主流女性主义励志话语里。问题是，除了励志套语外还有什么？当女性主角能被替换为少数族裔而完全不影响叙事有效性时，性别又意味着什么？在男性主创笔下，特鲁迪的主体性必须完全地以她所遭遇的否决性力量作为丈量，我们看不到女性泳者独有的生命体验和成长历程，只有天才开窍，没有苦练，甚至没有月经。我们也无从得知一个听障者为何热爱游泳，大海对她的身心灵意味着什么？而成功又是否是唯一的标准？立传过后，特鲁迪依然面目模糊，因为被真正托举的对象非她本人，而是被影业资本频繁改造利用并获利的“女性力量”概念。在真切的情感共振中，我们被其精准拿捏，共享着进步的幻觉。
Splendidon,2024-06-15 13:28:45,江苏,3星,160,这是一部剧作乏力，滥用抒情背景音乐，但完成工整的作品。看到最后的黑白影像，我的确被感动哭了。但朋友们，这部片有相当长的一部分是白开水式、空洞煽情式的状态。无论是它那平庸的台词，还是刻板、略有起伏的人物塑造，还是它那总是不肯停下来的、过度煽情的背景音乐，都令我如鲠在喉。是啊，这些男人多么可恨啊，当剧情推进不下去时，我便用几个片段化、刻板的、无力的霸凌女配角、步入恋爱脑的姐姐的泪水来应付了事，我真的写不下去这个剧本了，怎么办，抓紧逮几个大男子主义猪上来吧，哈！我的剧作冲突这不又有了吗？场景不就又更新了吗？到最后，我实在不知道怎么在游泳的时候设计剧本了，好吧！再拉一个恶毒的男教练给我的女主下毒吧，我们的女性主义观众们不买账才是蠢呢！终于，终于，我也得写一些具备深度的角色了，给他的爹洗白白吧……
Aliath,2024-08-01 09:41:46,北京,5星,330,最喜欢的一点是没有把姐姐塑造成一个用于对比的，“堕落”的反面角色。就算没有坚持游泳事业，也同样和妹妹一起扶持共进，喜欢这种真实的生活。
安妮号时光机,2024-06-03 22:51:14,北京,5星,429,她们走了很久才走到我们的今天，我们也要继续向前
陆沉,2024-07-07 20:36:28,上海,5星,274,我宣布她是我最爱的迪士尼公主！
