用户名,评论时间,IP属地,评论分数,有用数量,短评内容
zero,2009-08-13 13:40:59,,5星,465,这是蝙蝠侠电影系列中的巅峰之作，无与伦比。无可否认，无论是希斯莱杰的重低音假声“Why so serious？！”还是克里斯蒂安诺兰的“Why you want to kill me！”，每个演员的表现都很到位。黑暗，矛盾，残忍，混乱，人性的阴暗面。。。我们每个人都是小丑。。。
同志亦凡人中文站,2020-08-01 13:14:45,,5星,206,以后还会看很多诺兰电影，但这是第一次也是最后一次在IMAX银幕上看到希斯·莱杰。罪恶从未如此华丽。
叶扬 | 独眼,2009-02-08 17:44:01,,3星,143,对情感的描写太泛泛，而动作镜头也没有那么精彩。小丑确实是其中演得最好的了。
巽,2008-12-11 00:13:51,,2星,607,我明白为什么会一而再再而三的看睡着而不喜欢这个系列了：丫一边想要玩阴暗绝望一边又把态度端着，唧唧歪歪整个一事儿妈~
Vamei,2012-11-25 16:11:23,,4星,81,韦恩如何能在这个世界的疯狂中保持一颗蝙蝠侠的心呢？这对于我来说是个未解之谜。地区检查官尽管不幸，但和韦恩比差远了。可不可以把韦恩也理解为小丑那样的偏执狂呢？
bamboo,2017-01-01 12:14:13,,5星,330,甩普通英雄片一个宇宙
流浪达摩,2009-05-23 23:48:46,,5星,452,每隔十年都会出一部票房口碑双丰收的大作。十年前的《泰坦尼克》，08年的《黑暗骑士》。
曼仔,2022-06-18 11:49:59,,3星,52,时隔四年重看这部，希斯莱杰确实是真正的天赋型体验派；但诺兰确实不懂人。诺兰对“人”的解读是模式化且抽象化的，只能隔着距离去想象大众的善恶，呈现粗糙的“普遍人性”，一旦涉及个体幽微复杂的心理性情，除非演员天才，否则人物的工具感和匠气感非常明显。结尾蝙蝠侠自污名节深藏功与名的设置简直给我看笑了，能说什么，这种“清者自清是于无声处对无人的承诺”式的自怜审美真是跨越中外，鹤唳华亭、庆熹纪事、琅琊榜里的男主角，每一个都在做出一模一样的沉浸式自怜，以自污来自我升华。想象中的孤胆英雄铁肩担道义吗？只怕“载不动许多愁”。
原来是西门大嫂,2008-10-14 05:03:58,,5星,245,诺兰的贝尔牌蝙蝠侠最牛逼之处在于塑造了一个无超能的苦行僧式黑暗英雄。贯穿的主题是：一个人如何克服内心的恐惧和恶（前传中建立了他对世界不信任的根源，如何痛苦的克服它并选择用善对待世界。）所谓正义是相较于世人定义的丑恶暴力才会存在的，而选择哪一种方式对待世界才是对的？于是小丑出现了
小老鼠,2008-09-06 08:49:31,,4星,100,也没牛逼到那种地步，剧情不少牵强之处，整体气氛确实强悍
张小北,2008-10-23 00:02:51,,5星,201,我在巴黎和中国电影资料馆一共看了三遍胶片拷贝放映。可惜没能看成IMAX版。
思郁,2008-09-05 04:46:09,,5星,360,这一部太黑暗了，但精彩无以复加
同人于野,2008-09-12 07:25:20,,5星,290,看的时候感觉非常压抑。我不知道他们是怎么拍出这种压抑感的，但是整个电影无疑代表了电影技术和艺术的最新水平。
水木丁,2017-10-13 10:05:53,,5星,151,快十年过去，终于敢看这部片子了，但是他一出场，还是忍不住落泪啊……
奇爱博士,2012-08-03 22:36:04,,5星,141,伟大、通俗又深刻的商业殿堂级佳作。【电影资料馆】
猎户星座,2022-03-18 23:29:20,,5星,100,与其花钱看新蝙蝠侠，不如重温黑暗骑士
Kaito,2008-09-05 23:31:39,,5星,82,tim burton的batman是带着他诡异的幽默感的东西；而nolan的batman则是让人感觉满满，持续移动联通着的快感。
米粒,2009-07-20 22:05:09,,5星,167,史诗
西楼尘,2013-08-21 22:54:15,,5星,106,最棒的一部超级英雄的电影，带着看无脑片的心情看到了诺兰的惊喜。隐喻影射着我们的社会，好电影就是能把现实生活的不完美巧妙告诉你。
