用户名,评论时间,IP属地,评论分数,有用数量,短评内容
黄悦_,2022-07-24 10:07:25,,4星,237,它尽量伸长着手臂把希达安全送出去 然后自己牺牲了，另一个它抬起风筝以免压到了鸟窝 看到鸟蛋还安然无恙我甚至觉得它笑了笑了，它长满青苔让小动物在自己身上跑来跑去 它漫无目的在岛上走啊走 只为了守护这里，在为巴鲁和希达的冒险之旅捏一把汗之际 我更想摸摸这些机器人 告诉它们你们开心玩耍就好 不要太难过太寂寞了。PS久石让的《天空之城》 让人毕生难忘。
隆咚锵,2007-02-28 01:31:34,,5星,1037,突然好想哭……
范小奚,2008-07-23 00:38:14,,5星,851,对天空的追逐，永不停止。
窗台生物,2023-06-03 18:06:30,广东,5星,355,“女人要有胆量！”朵拉奶奶真的太酷了！还有希达在风筝上面和朵拉说“奶奶不也是女人吗，那我也可以做到！”也太正向了吧，这可是86年的电影就这么正向引导！全片最可爱就是粉色海盗一族，最后和巴鲁还有希达一起逃脱还得到了满手珠宝，引擎爷爷“我那艘可爱的破船”和朵拉“头发剪掉了好可怜”真的萌翻！(波姆爷爷在地下洞穴说再见，还有机器人送花也很好哭)
小狗骑士,2022-01-08 12:36:06,,5星,482,寻找的咒语那么长，毁灭的咒语却那么简单😭 太喜欢宫崎骏塑造的小女孩角色了，永远真诚、勇敢、坚韧
西楼尘,2023-06-01 18:11:44,江苏,3星,44,拉普达的姓氏是祝福也是诅咒，飞行石带来力量也能带来灾祸。寻找的过程那么艰辛，咒语也长，毁灭的过程如此迅速，咒语也短。矿坑里的爷爷洞悉了石头的命运，园丁机器人还在守护没落的花园。人们登上天空之城想要拥有权力，掠夺财宝，男孩却在这里转眼长大，女孩在这里断发坚强，天空之城就不止有墓碑。
十点半了吗,2022-02-13 23:37:01,,5星,493,那么辽阔的宇宙，希达正好落在巴鲁怀里的可能性是百分之百。
Doublebitch,2010-11-17 02:52:15,,5星,583,久石让的原声太动人
陆离,2023-06-01 15:00:40,内蒙古,5星,278,那不是毁灭的咒语，是重生的咒语。真正的国王会让拉普达褪去暴力，让希望重生。
TouMing鬼子,2023-06-01 21:38:23,吉林,4星,118,-  重看。开场到两人降落天空之城纯五星，开放合成的魅力，人物的魅力，接近完美的动作、语气和去景深化的横移与斜角构图，废土对于宫崎骏而言不是背景板而是承载知识分子情怀的开放世界：没有人不会为Laputa被时间之树所缠绕的机器人坟冢动容哭泣，但这些终究还不够。刻板得迂腐的性别书写（多次强调男性气质并构成驱动，以及巴鲁视角几乎是宅男式的）被幽默消解了部分，但希达从头到尾也没建立真正的主体性而更多是作为拥有不可知技术力量的大他者象征的少女符号（无论海盗婆婆、还是珊/娜乌西卡都丰满太多），所以最做作的一段来了：由王座前对峙时希达的一段长独白进行堪称机械的“主旨提炼”（何必？），和刻板的反派塑造一并造成后半段语气的失衡，合力念出的毁灭咒语没能迎来它真正的能量（仅留视觉上的“脱落”），于是显得遗憾
喜儿喂鸭正经地,2020-04-29 05:56:14,,4星,232,宫崎骏的麻花辫情节，在女性角色鼓起勇气放弃自我桎梏的时候这条麻花辫就会被削下
Lies of Lies,2015-04-09 20:05:09,,2星,40,好莱坞冒险动作片，桥段设计一般，人物过于简单。相较来说，还是后期《哈尔的移动城堡》，《千与千寻》更有味道。
不灵,2022-09-27 22:30:55,上海,5星,287,船没了再建一艘就好了，可爱的头发被剪掉了才真的叫人伤心呢😃😃😃
momo,2016-10-31 10:25:31,,4星,302,配乐远比情节精彩，最后的老奶奶很温暖。
遇见彩虹🌈,2017-11-14 09:55:44,,5星,196,喜欢宫崎峻的画风，单纯舒服。这些年看过很多动画电影，玩过很多游戏，有空中城堡，有机器人，都会想到天空之城。作为90年代初期的作品，他的想象力真的丰富到难以想象。
NutL,2023-06-03 17:07:55,福建,5星,170,当我看见你散发着光芒从天而降，我心跳得好快。我感觉，一定有特别美妙的事情即将发生。
冰红深蓝,2015-08-31 15:42:14,,5星,84,心情郁闷之时看宫老的动画，轻易就能让胸中阴霾一扫而空。久石让的配乐已无需赘言，希达和巴鲁两小无猜的纯真爱情实在太过美好。人与自然、贪婪与战争、爱与牺牲的主题均得到了深入的讨论。默默守护拉比达的机器人让人由衷赞叹，对海盗一家的刻画细腻动人。人要有幻想，但还是不能离开泥土。（9.0/10） | 2023.6：时隔八年大银幕重温，依旧如此动人心魄，恍若亲临一个既纯真又不无阴郁的异世界。如今，天空之城拉普达早已成了一个深入人心的象征，既是一个永远失落的、高渺而神秘的世外桃源，又昭示着现代性、高技术与人之贪婪膨胀之欲结合后的毁灭之力。宫崎骏与吉卜力工作室的纯手绘画工、高妙的想象力、对细节的把控与既心怀纯真理想又直面残酷现实的态度永远令人折服~
Yolanda,2013-06-29 18:48:10,,5星,151,男主长大后当了海贼王，去寻找拉普他的宝藏。
包艾伦,2023-06-10 21:10:58,河南,5星,143,抱歉，来晚了。现在的希达变成了朵拉婆婆了吗？
掉线,2014-02-06 14:58:40,,4星,154,【B】宫式童话，拉普达有种怪异的悲伤，配乐比电影本身要更优秀
我是小清新,2022-01-02 18:59:24,,5星,164,当年八国联军火烧圆明园也是这样一副景象吧，烧杀抢掠金银珠宝，却对更有文化意义的瑰宝大肆破坏。
拂绿,2023-06-04 17:42:52,江西,5星,81,笨蛋们带回了金银珠宝，回到了土地上，充满欲望和野心的人葬送在这片纯净的天空下。最后毁灭的半球体，就好像本就不被需要的寄生虫一样，大树自由了，花园自由了，根须可以自由地呼吸。（宫崎骏的女主角，美好，坚韧，蓬勃的生命力，结尾的希达比伪王更加具备王的高贵
冬季向日葵,2009-09-07 18:43:20,,5星,231,爱，善良，生命之树
米粒,2019-01-10 13:19:40,,5星,82,蒸汽朋克、飞行器时代、人类的飞天和超高科技的梦想… 融合在简单纯真的友谊和爱情里，真是太神奇了，可能只有宫崎骏才能做到。一棵生命之树越飘越远，去了看不见的地方，在地上的人有根基也有念想，美好呀。这主题歌好听极了，以前迷恋久石让到啥地步，日语一个字不懂却全会唱…😅
附近的米洛,2023-06-01 21:39:17,河南,5星,154,我要成为朵拉婆婆那样的女人！
止于此,2022-04-25 23:51:47,,5星,128,好美好美好美好美好美……庞大笨拙的机器人肩上长满了草，它一步步走到希达面前，摘给她一朵小花。可以称之为2022最催泪的镜头之一。
拔剑四顾心茫然,2023-06-19 01:04:51,河北,5星,52,看似浪漫唯美的少男少女大冒险，实际上是悲凉无比的理想主义挽歌，关于探索，关于征服，关于人类自身限制的恶梦。为什么拉普达人拥有绝对的科技与凌驾一切的武力还要回到地面上？因为他们险些酿成大错，回望被火光与贪欲焚烧的大地，才惊觉自己的根在哪里。波姆爷爷不敢直视飞行石就是最好的证据，他一定是亲眼目睹了某些惨剧（或为拉普达某族幸存者），才宁愿长久的居住在地底。天空之城是欲望的终极，征服大地、海洋、天空，再征服同类，拉普达人用科技创造了一个永不落地的机械墓场，最后留下来的只有与世无争的机器人园丁，唯有它们不会为财富和王位斗个你死我活。我猜想，毁灭咒语设置成一个短句，是因为有一个附加条件，那就是拉普达人与外族同时念出才能发动，那意味着拉普达一族真正回到了地面上，与其他种族和平相处，从此再也不需要天空之城。
Kyon Smith,2023-06-03 23:14:30,湖北,4星,43,影片所立足的主题“哪怕是强大到不可思议的天空之城拉普达，它的存在也不能脱离于它所扎根的土地”，正好结合最近的《塞尔达传说：王国之泪》，倒不妨以一种较为粗浅的角度来解释——我们还是得靠不断地在矿场挖煤，才能供给维持机械运转的庞大开支。当两位主人公念出毁灭的咒语，拖累着核心飞行石的多余部件应声脱落，只剩那多年来为机器们所滋养的擎天巨树攀升到天空的更高处，唯有这时，被彻底剥除人的属性的奇观才能成立——这种稍显自相矛盾的对自然的理解还真是奇妙。海盗们低空滑翔的长背动、进入风暴时的金田龙和阴影处理、二人站在巨树前的凝结风景以及影片最后二人前往女主故乡路上的夕阳，影片确实不乏上述这些令我动容的瞬间，然而，无论是剧情逻辑的粗暴还是角色对立的表演性质，都使我不太能沉浸到这种屏蔽掉了一切危险的朦胧的纯真之中。
大头绿豆,2007-02-24 22:37:23,,4星,173,瑰丽的想象。
sikama,2023-06-04 20:12:44,山东,5星,85,寻找的咒语那么长，毁灭的咒语却那么短。为什么天空之城会被废弃，是因为没有土地啊，文明都是需要根的支撑的。
谢谢你们的鱼,2023-06-01 23:46:00,北京,5星,60,很幸运第一次观看本片就是在电影院，那种不随时间而褪色的想象力和大开大合的故事非常常人感动，没有想到本片居然是一部恢弘的冒险大片，片中无数的桥段和设定都对之后的很多电影产生了深厚的影响。
杜边生,2007-11-17 05:15:01,,未评分,161,音乐洗涤心灵系列
Landy,2023-12-16 03:36:10,中国香港,4星,38,老婆婆抱著希達的頭說，船沒了可以再造一艘新的，頭髮被剪掉才真教人難過。以前宮崎駿總是不乏如此細膩感人的時刻。
沉歌,2008-01-09 17:52:24,,5星,103,这绝对是久石让和宫崎骏配合最完美的一次
薛定谔的饿,2023-06-14 21:41:26,北京,5星,58,最后金银财宝全部剥落，留下的是文明和生命的希望。好喜欢并且羡慕他们可以拥有这种单纯干净的情感😭
胡了了,2023-06-04 23:14:50,浙江,5星,40,无疑这是宫崎骏主题最深刻、底色最黑暗的作品，关于秘境的起源和毁灭，以及毁灭以后永恒的形式。仅存的园丁机器人，园艺化的大自然，异世界的小动物，没有国王的王国遗迹。拉普达和拔根的世界树充满世纪末的虚无情绪，而这种情绪在《天空之城》的巨大影响下也影响了整个世界的通俗文艺。无论是日本还是西方还是世纪初以来的中国从业者，都以这样的虚无情绪灌溉着一种秘境的可能，而这梦想的实质就是怀旧，回到拉普达而不做那里的新王。在《天空之城》等世界系通俗文艺的引导下，几代人普遍地明确着自身的使命和责任不是什么，而仅仅是回到拉普达，守住拉普达的现在。但我们并不真的拥有什么咒语，而即使拥有咒语，它也不能创造一个新家。
托尼·王大拿,2021-11-13 15:42:47,,5星,37,拉普达死寂般的消失是对世界的忧虑，那些在杂草中被植被覆盖的铁皮人的残骸，是它曾存在过的证据，却也仅此而已：高度文明的国度不再与地面亲近，犹如大树脱离土壤终将朽坏；但两小无猜的少男少女，怀着淳朴的愿景与对生命的敬畏，与无情的战争机器对抗并摧毁之，却又是对人类最深情最美好的希冀。
偏要勉强,2018-02-07 12:41:06,,5星,48,这是我看过的第一部宫崎骏大师的作品，也是最喜欢的一部，也许这就是初心吧。当然，那首音乐也是最爱。
Android99,2023-06-03 00:10:47,辽宁,5星,77,因为知道宫崎骏的片子会陆续重映所以一直没补，一刷在电影院真是太幸福了，宫崎骏简直是神赐予人间的礼物……
大头大头下雨愁,2023-06-10 22:12:15,浙江,5星,42,很幸运看了一个大家都安静观影的场次，经典之作的力量果然很强大。战胜贪欲的科技才叫文明，才能长久。毁灭的咒语比激发力量的咒语要短很多，很有深意啊……
17950,2006-10-10 18:50:08,,5星,138,音乐太好了
周末不洗头,2023-10-14 00:55:33,北京,5星,48,那棵大树才是真正的拉普达，能发出核武器一般可怕破坏力的金属球只是人类企图束缚自然力量的附庸罢了。人类是总会本末倒置的愚蠢物种。所有的战斗机器人都死了，只有园丁机器人在照顾着鸟和花草。坟墓里祭奠的是所有因为争夺拉普达控制权死去的人吧。老婆婆你的胸快把希达憋死了。
阿屁,2023-06-03 17:21:24,湖南,5星,44,我知道很好看，但是可能真的是由于记忆久远，不知道有这么好看了。。。是每多看一个镜头都会感觉被感动到的程度。。。看到死去的机器人小心把希达安放在千疮百孔的断壁残垣上的时候。。。看到希达和巴鲁决定背井离乡，却对小城上空盘旋着的白鸽依依不舍的时候。。。还有那个等待了上百年的机器人，缓缓向他们走来，再把一朵小花献出的时候。。。而这个时候，《天空の城ラピュタ》的配乐响起，突然就感到一种被安慰的感觉，像是一切的悲伤和痛苦都被消弭了，所有的事情都随着那朵花的安放结束了。。。情感就会控制不住地决堤
清欢,2018-02-19 20:55:05,,5星,70,画面好看，配乐喜欢，故事也不错。一开始以为海盗是坏蛋，但是后面他们很好玩很善良。喜欢手臂长长的机器人，对希达的维护之心表现得很戳心。其实对于希达的身份还有拉普达的毁灭充满疑惑，电影里没有细说。
火娃,2016-02-05 06:03:15,,4星,40,8/10。重温，宫崎骏擅长也最爱表现追逐，结尾天空之城外墙解体成一座上面鸟语花香的大庭院，画面精工细致扎根于美丽的浪漫主义幻想，那些漆黑矿洞里的晶石、高架木轨上的旧式火车、蜜蜂姿态的小型驾驶器、机体潜入云海的波纹，让观者陶醉其中。幽默可爱的空贼形象是妙笔，尤其挤破衣服跟镇民打闹一段。 @2016-02-05 06:03:15
拓小云,2018-04-07 22:45:22,,5星,72,音乐满分，剧情满分。最感动我的是机器人的追捕蝴蝶的那个场景，我看到了孤单，寂寞这一些情绪然后眼泪不自觉的就落下来了
隔岸观船,2017-01-10 22:31:39,,5星,46,简单平淡的故事 主题绝非仅仅是爱情 天空之城好似一个奇幻的梦中天堂 寻找天空之城就好似寻梦 宫崎骏手执画笔为这梦勾勒出了恬静素雅的绝美 久石让以音乐则构筑了这部电影情感的洪流 优美曲调和动人心弦的美妙音律让人感动流泪
momo,2023-06-14 16:06:46,江苏,5星,36,园丁机器人那里没忍住流泪了，太美了，孤独又灿烂。监视台上的希达和巴鲁太美好。我之前没看过这部，但大部分配乐都很耳熟，久石让的配乐让这部电影更上了一个台阶。
青山绿水,2018-05-14 17:15:52,,4星,75,有时候，坚持了你最不想干的事情之后，便可得到你最想要的东西，坚持就是胜利。
高詩遠,2023-06-03 12:44:39,北京,5星,11,2021.01.132023.06.03   白鸽随着号角声飞向远方，今日仿佛有好事发生。你从神秘的天上而来，我在辽阔的地上等待。在黑暗的洞穴，抬头也能看见美丽星辰，那是你初次走进我心的时刻。曾经年轻过，听到恋人絮语，以后也想继续年轻，反派的专属浪漫。世人向往天国，独我无法将你遗忘，只因我深知人类不宜飞行，再悄悄祝你在乱流下平安。光芒指向东方，我在天空寻找你的轨迹，站在回忆的沙堡垒，有我硬撑，使你心安。
🌙🌙,2016-11-17 12:47:21,,5星,76,不得不说日本动漫确实水平高 画面美 配乐好听 顺便再让你思索一些道理
五色全味,2008-06-30 19:54:31,,5星,30,簡單的動畫中卻透露著對生命的敬畏，想象力又非凡，大師手筆
４％,2021-09-09 16:46:30,,5星,44,根要扎在土壤里，和风一起生存，和竹子一起过冬，和鸟儿一起歌颂春天，不管你拥有了多么惊人的武器，也不管你操纵了多少可怜的机器人，只要离开土地，就没办法生存。
Helicopter,2017-08-29 15:02:24,,5星,30,Ghibli重映系列第五部 / 除了外形相似，天空之城和Brueghel的巴别塔的寓意也有呼应之处 / 人的欲心、好战带来灾难和摧毁，但自断经脉还是可以重生的，整个隐喻很完整 / 缤纷的飞行器设计太赞 / 机器人之墓有点泪目 / 女性角色和女性精神超前时代三十年
出云,2024-01-13 13:38:21,云南,5星,31,“看到你从天上落下来，我的心跳得好快，感觉有很美好的事情要发生了”“等事情结束，我一定送你会冈多亚去，我想看看希达出生的老房子，还有山谷，还有耗牛”“你把毁灭的咒语告诉我，我和你一起念”QAQ……
雪里花蕾,2018-05-16 06:58:06,,4星,49,回味经典，简单而又直白的动漫，宫崎骏在那个时代没有电脑的特效，没有高科技的设备，可能就是最初的感动吧！
陆钓雪de飘飘,2015-07-27 22:13:20,,5星,31,有人路過那裏，回來告訴我，天空之城在哭泣，越來越明亮的你。此刻我在異鄉的夜裡，想念著你，越來越遠。
Queenside,2017-04-02 22:49:03,,5星,29,喜欢，最喜欢的就是宫崎骏爷爷的电影号想拥有这样一座天空之城，多美的名字，像是空中花园，也像是遗失的亚特兰蒂斯，最后有着无尽财富的城堡被毁掉了，但代表着生命的大树却留了下来，这样的结局是最好的。
如是,2018-05-15 23:09:33,,5星,67,反战真是宫崎骏热爱的主题，也正因为此，他的作品才总是笼罩着人文的关怀。
它们人类,2017-02-22 23:38:01,,3星,20,我一定是一个不太可爱的人，才觉得这种纯爱环保题材是一个顽固的资本主义艺术家工业化创造出来的，反刍似的纯真与和平，深层的优越感让人不适——坏人那么努力追求自己的梦想凭什么就不能美梦成真呢？！；2011.02.11：很美的境、很美的音乐，很拖沓的剧情。宫崎骏是太得意自己的画跟梦境么？
👹天神的审判,2018-05-14 17:31:57,,5星,19,宫崎骏的动画片真好看，又满满的正能量，里面的配乐真的非常好听！
可可,2023-06-03 23:27:12,北京,5星,17,今年这次看才逐渐get 到了宫崎骏，最打动人的就是小男孩和小女孩之间纯真的爱情，友情。天空之城由机器人守护，是一片美好原始的森林状态，同时也是不同人的理想国，照见了普世人对金钱，权力的欲望，也让我们看到了小男孩和小女孩之间互相守护的真情。婆婆那条线也很有意思，和小女孩同样的双麻花辫，一直在想小女孩最后也会变成婆婆的样子吗，最后小女孩竟然变短发了，答案不言而喻哈哈哈
吴径,2023-04-08 01:33:48,福建,5星,27,希达和巴鲁是一面之缘，从天而降的少女坠落在少年的心房，是怎么样的力量让少年有了勇气穿越炮火，强权，生死去拯救那个女孩。纯净的感情诠释了人与人的关系。巴鲁的父亲在众人的猜疑面前坚定地自己看见的事实—天空之城，也是这种执念支持着巴鲁不断追求两代人的理想，坚定是宫崎骏对理想的态度。最善良的人居然是海盗🏴‍☠️大妈团，政府和部队都是反派，世界也是这样，反派和正派从来都没有绝对的正义。
东篱,2018-05-19 09:38:15,,5星,22,巴鲁和希达追寻天空之城的历程，就像我们每个人追寻理想过程的写照，虽然理想不一定能实现，但最美好的是这个追逐理想的过程。
卡比巴拉的海,2017-02-14 20:47:30,,5星,24,天空之城在哭泣，越来越明亮的你。爱情不过是生活的屁，折磨着我，也折磨着你。        宫崎骏的电影看多少遍都不会厌
momo,2021-07-31 02:41:14,,3星,25,吃了时代红利了。实际上是很平庸的剧情，典型的日式科幻，最有魅力的是海盗一家子，除此之外非常乏味。只有音乐可圈可点。
阿尔伐,2023-06-02 19:23:07,上海,1星,27,在影院如芒在背，坐立难安，特别是看到一群大叔对少女的女主脸红心跳献殷勤的时候，到了恶心的最顶端，男女主的设定是孩子，从她们与其他人巨大的形体差就能判断这一点，美化几个中年人对一个孩子的发情，这种发情被创作者描绘的笨拙而可爱，有何居心？
