用户名,评论时间,IP属地,评论分数,有用数量,短评内容
红烧肉日记,2016-11-24 18:06:04,,5星,86,什么样的电影都要跑去ky，不刻意的挑点毛病就是心里难受，看见大家的好评和感动就忍不住为了反驳而反驳的人是不是天性犯贱？你不觉得好看所以多数人都没有欣赏水平，给4-6分的电影打五星的时候是不是想证明自己多特别多与众不同身体不停的被艺术的细胞充斥着？你最独特你是一个人行了吗
李小饼,2014-01-08 15:30:11,,3星,642,得是有多变态才会对小孩子产生性欲
清欢,2018-02-08 20:31:44,,5星,102,把令人窒息的丑陋与罪恶撕开来摊在你我的面前，让人愤恨无奈失望无措…同时又将善良温暖的风吹进几近崩溃的心灵里…和室友窝在一起看了这部电影，我们都不愿意去直视那揪心挠人的事实…好在，“爸爸”“妈妈”邻居家的小男孩还有心理医生…他们一点点在抚平震惊、愤怒以及渐渐生起怨念的内心…
思无邪,2018-02-13 19:07:22,,5星,58,我看了短片，但哭的一塌糊涂，这类的片子一般都不敢看，心脏承受不了。
妙丁丁,2014-01-20 02:49:36,,2星,556,看完真的很生气，一部充满“你受伤了大家就会对你好的”这种鬼话连篇的负能量的片子! 尼玛连小女孩回到学校同学的反应都没敢细讲，你当拍童话呢？如此简单草率的写“心灵创伤、治愈、往前走”，你把沉甸甸的被延展、碾碎的痛苦都往哪儿搁？
Nvo,2013-12-28 20:27:13,,4星,220,不知道该怎么说，从狩猎到7号房间到熔炉到许愿，这个世界本身就存在许多剖开人性本质后发现的肮脏与血腥，做一个好人的定义不只是个人的乐于助人乐善好施，因为单凭怜悯之心和微薄之力是做不成什么事。要好好保护自己保护好身边的人，在有所成的时候担起社会责任。
邹逊,2013-12-25 12:26:59,,4星,126,依然发挥了韩国“虐心”的国民天赋，意外的是影片时刻都在强调尊严，这种不服输的尊严在角色的身上体现出的便是逞强，在绝望中逞强是最为煎熬痛苦的，而故事的这份自尊感催泪但又具有未来希望的愿景。真人真事改编，女性朋友又得徜徉在泪水里了。最亮眼的是可可梦，头上和尾巴上那两个箍太他双汇火腿
巴喆,2014-01-05 21:31:50,,5星,70,差点就飙泪了。禽兽该死，比禽兽更该死的是不公的司法！很遗憾，一边越来越开放，一边越来越封闭。8.5
请尊敬王道长,2013-12-26 23:43:47,,4星,86,推荐给做儿童心理创伤干预的朋友看看
熊阿姨,2017-11-23 18:00:55,,4星,92,《熔炉》讲性侵本身，《素媛》讲受害儿童的心理创伤和应激处理，母亲那句“如果所有孩子都遭遇这种事儿就好了”是最扎心的台词，真实案例里有更多事情都跟大家想象的不一样。
幕天席地,2017-03-04 08:57:24,,5星,68,很悲痛沉重的电影，哭瞎了眼，有时候你很不能理解为什么这么可爱的小朋友会被如此摧残，可是世上就是有那么多变态的存在，人的恶，连佛都渡不了。
kakakarl,2013-12-27 02:51:00,,4星,46,从受害者如何走出阴影的角度来谈性侵。小女孩回答心理老师问题，父亲扮演可可梦，回家看见一墙的祝福，小男孩和朋友保护小女孩，小女孩认出父亲……都是催泪的点。温情比苦难更催泪。
等一个人,2013-12-26 22:13:29,,5星,25,作为一个萝莉控，还是哭崩了
疼酱,2014-01-03 21:08:11,,4星,99,你也快回去吧，朋友们都在等你呢。T-T
麦子,2013-12-26 09:56:14,,3星,278,近期韩剧好多都跟进天朝故事啊，是巧合么
胤祥,2014-01-06 03:55:27,,4星,31,根本是俩事儿（性侵和二逼社会/家庭亲子关系）搁一个片儿里，所以主题一直在摇来摆去；跟李沧东的[诗]一比就见差距在哪儿了。不过演员还都不错。
Qing,2017-01-02 13:41:58,,5星,24,"""最孤独的人最亲切，受过伤的人总是笑的最灿烂"" 这句话让本片所有的暖色调只徒增观众的压抑 个人认为比熔炉拍得好得多 父女相认那场太虐了"
自由的玩,2018-04-15 13:29:06,,5星,21,看完很难受，韩国挖掘人性方面做的很好，催泪啊，不敢看第二遍😭
苏醒醒,2017-01-03 19:57:57,,5星,77,看到素媛进医院就虐哭了   “我觉得叔叔没伞，我应该给他撑伞”   一个这么听话的小女孩不该遭受这样不幸   爸爸是特别好的爸爸   无声的爱维护她幼小受伤的心灵   韩国的法制这么轻才判十二年   对于这样的社会败类怎么能这么轻易放过
后天的雨,2016-11-11 22:25:55,,5星,94,韩国电影的确擅长此类题材，看得过程中泪止不住。太心痛这么一个小女孩素媛了，最可怕的这不仅仅是个电影，现实里可能还有无数个素媛得不到一点救赎。电影里的她，是绝望不幸的，但又还好是幸运的，有家人，周围友好的邻居朋友。希望现实能因这一部电影能少一点不该有的绝望就好了
ZeonGin Sou,2014-01-02 14:59:47,,3星,123,这样的题材，让你不给高分就好像很没人性的样子。于是片子的高潮也要很没人性才能引爆。资本主义社会就是这样：一醉解千愁啊……不多说，避免招黑……
卡比巴拉的海,2017-04-07 14:55:00,,4星,30,受过伤害的人总是能笑的很开心， 好虐
yocofcjx28,2016-12-22 22:58:27,,5星,67,看得异常崩溃的一部电影！小姑娘演的好好，最后在法庭抱住愤怒的爸爸那里，真的哭成泪人！结局不是很好，但这就是现实，有点让人无奈。
昏金暗玉,2014-10-05 14:33:08,,4星,28,在制度存在漏洞的冷酷面前，用善意打开了一个希望的世界。我始终未能忘记心理医生那个逃脱一劫但仍在16岁自杀的女儿，我知道在面对终生的苦难面前要积极寻找属于自己的人生意义是很困难的事情。只希望蔓延到电影外，善意继续撑起希望，法律完善公平。
掉线,2014-02-16 15:36:26,,3星,63,【B-】如此具有现实意义的题材都能被拍成催泪温情肥皂剧，实在不知说什么好，韩国这种“快餐”电影，人为安排痕迹明显的剧作，总给我一种“浮于表面”的感觉。另外除了小女孩和知心大妈，其他人演技真是糟糕，尤其母亲和闺蜜那场医院哭闹戏，演技浮夸的令人发指。七分正常，八分稍高，九分理解无能。
Granite_花花,2013-12-25 21:11:52,,4星,50,年度催泪大作，根据真实事件改编，朴素平实的叙事方式将治愈疗伤的情绪注入观众心底，情节编排、节奏把握都恰到好处。薛景求和小女孩的表演都很出色。很久没有看电影流这么多泪了~
方枪枪,2015-01-23 16:01:15,,5星,17,几度哽咽，几度泪流，几度感动。关于亲情父爱家庭电影，最电影化，也给人触动最深。父爱如山，常常无言，却总是用行动在实践。
Stark实习生,2018-06-06 12:44:29,,5星,21,不敢再看第二遍系列。听说原型快出狱了？小姑娘一家该怎么办呦。
救赎.,2018-04-15 13:45:01,,5星,18,看了特别难受，可以抑郁一个星期。
别人老公,2017-03-04 11:11:39,,4星,33,国内是不是也应该拍一下这个题材的，而不是只要一关于性就是上床，大多数的床戏都让人很反感好吗
西楼尘,2015-07-18 11:56:55,,4星,26,六六说，法律是保障社会正常运转的安全套，而道德是保障个人生活幸福安全套。两者有关联，但未必是绝对关联。日光之下罪恶在发生，法律却显得鞭长莫及，令人愤怒。电影最后的法庭戏如同催泪弹，父亲狰狞的面容令人动容。但如同《熔炉》一样，影片诠释罪恶时太苍白，缺少像《谜一样的双眼》一般的隽永。
Mushroom,2022-06-06 05:38:59,,5星,27,哭到不能自已，满墙的小纸条，装满糖果的包包，玩偶服里满头大汗的爸爸，默默跟在素媛身后的那群男孩子们，还好她周围还有那么多温暖。
汪金卫,2014-02-02 17:32:37,,3星,33,同样是幼女性侵案件题材的韩国电影，《熔炉》侧重维权，《素媛》侧重治愈。相比清新煽情的《素媛》，我还是更尊敬那严肃不屈的《熔炉》。当初《熔炉》的结尾把我震撼得泣不成声。而《素媛》里的一切都显得那么水到渠成，这种从头到尾拖沓矫情一刻不停的猛烈煽情手法我早就免疫了。不喜欢。三星半
蓝下老婆,2017-04-08 10:36:04,,4星,15,哎，扎心了，看不得如此虐心的影片
美好生活,2016-11-14 23:59:20,,5星,18,丧心病狂的施暴者仅仅判了12年扣除假期确实太便宜他了他对孩子的伤害是永久性不可逆的，为什么这个白痴法官要维持这个明显不公正的判决?素媛的爸爸一直在隐忍，判决结果出来再无忍耐最后抄起检察官的桌牌要拍死他懂事的素媛抱住爸爸的腿她不想看家庭支离破碎。如果解释不了无法挽回，那就往前走吧。
曾于里,2014-01-05 20:12:05,,4星,19,虽然是治愈系，但还是太沉重了。但愿所有孩子都平安健康快乐成长。
偶米豆腐,2023-01-18 14:15:45,北京,5星,26,这种坏人，喝醉了把他砍死算了，反正喝醉了也不用负责任。
爱情海,2017-03-20 19:16:32,,5星,21,有心疼、心痛、震撼、愤怒、无奈，看了心情真是五味杂陈，这个坚强的小姑娘，还有那伟大的父亲让人感动。
桃星,2016-10-17 23:10:17,,5星,11,差不多全程都在哭，小女孩真的太善良了。
文泽尔,2014-01-16 00:26:27,,3星,15,可惜太急着看 片子快在国内上映了 如果是在影院看的话 评价应该会有加成 且不论是否真实事件改编 本片讲的其实就是个三卷完结的日本青漫故事 论故事深刻和虐心感都不如17岁和异教主 离各种灭伦理人性的限制漫就更远了 故事上讲 最后的放下固然伟大 但戏剧冲突却被削弱了 好在女孩李来的演出很赞 可推荐
铃儿响叮当,2017-02-21 10:15:18,,4星,14,这类题材反映人性，值得我们深思，在我国未成年人的保护，在这一块做得远远不够，前不久微博爆出一篇文章，不就是一个个的素媛吗？
哪吒男,2018-06-30 01:12:20,,4星,21,这当然是不够完美电影，但我不想批评、诟病那些打高分的人，在这部电影面前或许善良比正确更重要。
Lavender,2013-12-28 19:30:30,,4星,14,最孤独的人最亲切，最难过的人笑得最灿烂，这是因为他们不愿身边的人承受同样的痛苦。
蓝色啄木鸟,2017-01-13 15:05:05,,5星,12,很悲伤的故事，爸爸的爱让人感动又心痛！为什么可爱的孩童受到伤害后还得不到守护！
月涩,2017-04-07 20:45:40,,4星,11,哭着看完的，虐心！
Tone调的悲伤,2018-04-15 18:13:46,,4星,12,看了太过心痛了，她的童心永远折损在了那一天，人性丑恶和变态太过早暴露在孩子眼前，天使折翼，带给全家和朋友们的伤痛永远不能愈合。
卡卡卡卡卡卡卡,2017-03-11 22:33:50,,4星,11,不得不说韩国在题材方面很大胆，影片压抑绝望，一度看不下去
幸运遇见你,2017-03-01 07:25:51,,3星,21,坏人这么可恶   但是好人还是那么多呢
匡轶歌,2014-04-06 21:45:58,,3星,27,虽然导演已竭力放入了一些温情而治愈的细节，整体基调没有黑暗到极致，压抑到不容片刻喘息，也算泪中有笑，但当【哎哟要死了，哎哟要死了，就是人活着的意义】这种话，从一个仅有8岁的小女孩口中说出来，还是太残酷了。如此幼小年纪，就已领悟了活着便是痛苦的息息相随，是与苦难的交往、接纳与和解。
小辣椒,2016-09-14 08:18:12,,3星,17,电影太过沉重，不是不好，是看不下去了……
囧叔,2014-01-24 17:09:48,,5星,20,小胖子一哭心都碎了 太虐
