用户名,评论时间,IP属地,评论分数,有用数量,短评内容
文泽尔,2007-09-19 22:39:39,,3星,501,其实这部片子我并没有觉出任何好来，所有人都装着深沉.因此无论怎样都可以继续神展开，总结一下就是：一部大家从头到尾都在努力装着一直装到最后还要装下去的片子.交换角色身份的片子，梁朝伟过得很杯具.其实所有人装着装着连自己的身份都快要忽悠掉了，白的想黑，黑的想白.对了这个有原著么？
股神看不懂,2016-11-01 13:34:04,,5星,799,看了这部片子我爱上了梁朝伟，那忧郁的眼神让人深深的陷了进去，陈永仁的形象深入人心啊，老虎演技真的太好了，当然也离不开其他演员的倾情演义，经典
红豆♥,2018-12-13 02:09:47,,4星,170,再看一遍黄秋生那一段还是觉得太心痛了
幕天席地,2017-03-10 13:42:12,,5星,634,天台那一场戏是经典，没有能超越的吧。“对不起，我是警察”打动了我幼小的心灵，此生再难忘。
４％,2021-02-01 17:05:33,,4星,132,陈永仁虽然死了，但他终究恢复了身份，脱离苦海。而刘建明却要隐藏所有秘密，继续伪装扮演一名好警察。“给我一个机会，我以前没得选择，我现在想选择做好人。”有时候人生就是这样，一开始你觉得自己没得选，等你意识到原来以前有得选时，才发现一切都已经变得没得选了。
曼仔,2012-12-27 15:08:35,,4星,114,九十年代香港黑帮/警匪电影传统的巅峰了吧。黄秋生死的时候我还蛮动容的，梁朝伟那段的眼神动人，后面傻强死前的话也让人难过。
missfaye,2005-12-13 23:03:22,,5星,626,剧情写得好！
遇见彩虹🌈,2017-10-26 08:52:00,,5星,392,一旦选择了一条道路就只能一直走下去，没有尽头，不能回头。在天台上，警察和罪犯可以达成一致么？警察的身份被永远的删除，罪犯也没有机会做回好人。警察用尽自己的最后一分气力完成着自己的使命，而罪犯也永远的失去了成为好人的资本，活着对他来说本身就是种折磨，就是一条没有尽头的不归路。
昵称被占不开心,2017-02-18 15:40:25,,4星,131,我想做个好人
俺困,2016-12-28 15:47:46,,5星,485,陈永仁的眼神看着都让人觉得心碎。这大概是我看过最棒的港片了。
哪吒男,2021-11-14 01:22:47,,5星,181,新千年之初，“身份”是香港人最热衷的命题。《花样年华》问没有爱了，该不该走、《少林足球》讲世道不同了，要不要搏，《无间道》说他站错了队，算不算好人？在新与旧，黑与白的十字路口，每一种选择多少都背叛了历史，“家国情怀”四个字，嬉笑怒骂的香港人喊出来，才真是字字泣血。
周沐君,2020-09-19 18:46:39,,5星,169,才看。真挺好的。片尾梁朝伟演的陈永仁就这么被一个毫无存在感的角色给悄无声息的毙了。毫无挣扎反抗的余地。电梯门一开一合，反复夹着他的腿。令人心碎。
TiffanyHsu,2022-02-13 20:56:27,,5星,125,我12岁时的片子，30岁终于开始看，不得不说这个剧情放在2022年少了点刺激。并且，岁月还证明了，余文乐和陈冠希老了并不会变成梁朝伟和刘德华，他们都会变成赵本山。
北风其凉,2022-12-29 12:40:28,江西,4星,53,重看是祛魅的过程。逻辑问题略多了，警局竟然让当时参与事件有嫌疑的人进行内鬼调查。阿仁电影院擅离职守不会被怀疑是内鬼。刘建明看过那些黑社会成员档案不销毁就算了还在见对手的时候摆在桌子上，阿仁手握刘建明证据又为何匆忙离开警局反而让自己警察档案被删。最大的优点就是重要人物身上都有一种悲伤的宿命感，梁朝伟身上一丝丝玩世不恭又略带疲惫感伤的气质太适合电影了。
shield,2017-01-05 18:18:47,,4星,130,真真假假虚虚实实，又有多少无可奈何
妈咪宝贝,2016-11-20 23:20:17,,5星,304,21世纪香港最经典片子了
圓,2006-05-01 15:07:03,,3星,157,"雷聲太大, 只不過是香港電影算好的罷了"
西楼尘,2013-08-21 22:49:28,,3星,57,没觉得多么惊艳。
