用户名,评论时间,IP属地,评论分数,有用数量,短评内容
cassidy,2009-03-05 01:43:30,,3星,462,"属于看时激动,看完越想越没意思的那种"
掉线,2012-11-19 21:42:34,,4星,308,一部没太大感觉的公认神片，拍的的确是很真实，但或许我口味重了点，还嫌不够残酷吧……最后辛德勒对着一千多人的一番话泪崩了，我和同学俩大男人在自习室默默泪流再默默用纸巾抹泪的场景太喜感了
米粒,2010-03-19 12:09:31,,5星,258,爱电影必看的一部，黑白色里的红衣小女孩和温暖的烛光令人印象尤其深刻——导演很清楚我们需要怎样的震撼和感动
雪狼༊྄ཻᏴ࿆Ꮻ࿆Ꭶ࿆Ꮥ࿆,2023-10-22 07:35:53,辽宁,3星,415,有意思的是，幸德勒晚年家产为犹太人耗尽，多方求助只得到了1.5万美元帮助，重新创业却被犹太人排挤打压。
Jean,2005-07-18 12:51:00,,5星,376,人性之恶，生命之荒谬
Marmalade.,2023-10-19 22:07:35,福建,未评分,142,补标。#当初《乱世佳人》下架那么多人觉得不合理，现在为什么又合理了。如果真的因为现实的一些狗屎事情就时空出警cancel一些书一些电影，那真就文学无用了。
wuli月半子,2023-10-25 11:09:56,上海,2星,639,之前看很感动，现在结合现实，有点讽刺
花祭,2023-10-13 10:47:54,江西,5星,171,为辛德勒五星，犹太人就算了，这次巴以冲突我才真正认识了犹太人。辛德勒，《辛德勒的名单》电影人物原型，曾经救助上千犹太人，晚年穷困潦倒，靠救济金生存，67岁饥寒交迫病死，自诩最懂得感恩的犹太人在哪里？2006年7月，以色列军队冲进黎巴嫩境内掠夺石油，被联合国维和部队发现炮击平民制造人道主义灾难，以色列怕事情败露，竟然直接向维和部队营地附近开炮施压，致使包括中国战士杜照宇在内的，芬兰、奥地利、加拿大，四名维和战士牺牲，当时杜照宇的孩子还不满两岁。
诗格律,2023-10-22 08:37:04,陕西,5星,240,N刷过的反战经典！自古是非善邪有标准，不能以立场来划定。
有酒有酒,2023-10-18 00:39:58,湖南,1星,878,以前觉得是做好事 现在觉得最后穷空潦倒也是报应罢了
生长神像,2023-10-20 02:57:06,陕西,5星,287,帮助了如此之多犹太人的伟人最后却落得如此下场
缙云居士,2023-10-26 20:47:43,江苏,3星,185,“后人哀之而不鉴之，亦复使后人而复哀后人也。”21世纪的今天的巴以冲突生动的演绎了农夫与蛇的寓言，也将我们从对犹太人悲悯的情绪中拉了出来。历史重新上演，只不过这次的受害者成为了刽子手，屠龙者终成恶龙。
甜椒Oli,2017-03-26 10:20:40,,4星,282,我可以冷漠的看完整部影片。我深知我改变不了世界甚至改变不了自己
小豆油,2023-10-23 09:44:37,吉林,3星,261,史实不完整。如果奥斯卡·辛德勒看到今天以色列政府的作为，不知他会怎么想😅
玄青,2023-10-22 08:52:38,辽宁,5星,220,希望人类最终都能走向文明与自由，哪怕是再顽劣的。
就死机圣诞节,2023-10-22 08:04:55,安徽,5星,210,真正的大爱是不分人种甚至物种的，那些爱别人前需要确定种族物种的基本都是虚伪自私的小人。
宋雯婷,2016-07-21 12:24:26,,5星,140,豆瓣戾气一点也不比知乎轻。这样的电影还有人说媚俗，真是愚蠢。有一天大概也要去辛德勒种下的那棵树前面站一会儿吧。
次元碎片,2023-10-20 08:05:35,陕西,1星,1061,很虚伪很讽刺
裴钟灵,2023-11-03 03:53:44,广东,1星,405,电影是好电影。但是2023年评价这部电影，以色列的行为真是讽刺。实在是不忍心看到巴勒斯坦百姓被压迫被残害。愿世界和平。
LOOK,2019-09-10 10:06:33,,3星,53,2.5  切入大屠杀的角度很俗气，没啥智性思考也没啥真正要说的话，满足于“再现”，满足于“故事”，满足于“态度”。即便按好莱坞的编剧法则评估，辛德勒的心理动机亦失之含混。
快剑侠,2024-04-28 20:19:59,广西,1星,214,8年前看的，现五星改为一星。辛德勒耗尽钱财救了一千多犹太，最后穷困潦倒而死。犹太人斯皮尔伯格靠这部电影赚了几亿美元，只给辛德勒遗孀埃米莉寄去了一张5万美元的支票。瑞典国王亲孙子，拯救过6000名犹太人的大英雄，最终被以色列当街给宰了。中国二战期间救过4000名犹太人，到了中国后，却和日本人勾搭，秘密搞了个“河豚鱼计划”，企图在东北买地建国。忘恩负义已不足以形容犹太人
徐若风,2013-06-01 14:41:50,,5星,92,算是很少的一部可以看很多遍的电影，整个人类的悲剧。p.s.46min、64min、93min、110min、120min、123min、130min、141min、150min、161min、178min都是神来一笔。
别戳我萌点,2023-10-27 12:41:07,湖南,4星,126,2023年冬，于东北，再次观影。没有眼泪，只有唏嘘。历史的轮回不改作品本身的优秀，但这种堪称讽刺的对照，实在让人很难打出五星。
云隐,2023-10-13 22:13:06,陕西,1星,483,犹太人：世界以痛吻我，我以獠牙待之。tui ～还是教员眼光远，舆论的高低我们不去占领，那么敌人就会占领。
Mr.杨,2011-11-23 22:25:54,,3星,57,我实在没有耐性去看这部3个多小时的电影。还故意搞成黑白的！对我来说太冗长了，受不了。大家都说好，我也跟着说好吧。按着快进看完的，而且我觉得电影简介比电影本身所要表达的意思和主题好看。
爱幻想的小孩,2015-02-09 14:00:45,,5星,155,主旋律，片段化，但是掩饰不住那份执着和认真的制作态度。最美的摄影果真都是黑白。光影运用极其出色。若干小高潮和小细节令人惊愕。让英国演员蹩脚的说带德国口音的英语到底还是阻碍了表演，让人出戏并加强做作感。人物塑造尚可，男主前后反差有点大，过渡没有做好，最后拔高有刻意感。
