用户名,评论时间,IP属地,评论分数,有用数量,短评内容
抖啊抖,2011-02-12 02:16:37,,4星,368,我想任何一段感情都是有时差的 你先注意到我把我默默看在眼里和我很久以后才确信你是唯一的最好的只想要度过一生的人 很多年后你跟我随意谈起那些我从不自知和早已遗忘的琐碎细节 我想起当时自己是如何把所有心思都花在另一个人身上而仿佛被施了障眼法 时间看似残忍却默不作声地容忍我们暂且做伴
mon babe,2010-12-05 20:17:37,,5星,858,又一部让我痛哭流涕的片子。让我想起Melody，以及一切怀有美好情感的故事。我羡慕朱莉安娜的家庭，听到兄弟俩完美的和声，当时就落泪了；我羡慕她有一个好爸爸，为她画下心爱的梧桐树。更羡慕有一个布莱斯那样的可爱男孩，最后慢慢的意识到自己喜欢她。原本没怀有期望，可是，在童话面前，我输了
沉歌,2010-12-23 01:44:27,,5星,596,这女孩让我想起了十几年前的老电影《小丫头》里的女主角——越看越觉得这男孩根本配不上她，好想成为这样的女孩。
影志,2010-12-05 14:44:20,,5星,498,融入了一切我喜欢的电影元素，画风怀旧，演员超萌。60高龄的导演罗伯·莱纳在2010年奉献了一部极像是80年代电影的「两小无猜」式爱情小瘙痒，不及《伴我同行》深刻，却同样令人“怦然心动”。
亵渎电影,2011-01-02 00:39:34,,4星,352,结局过于仓促了点，但过程却是那种的清新而美妙！遇到一个对的人那种瞬间悸动被导演还原了，再次带观众清纯年轻了一次，回想那一年的怦然心动！★★★★
韦思嘉,2016-06-07 12:48:37,,5星,415,女主角这种类型的姑娘，以后一定会长成参天大树保护周围所有人的，男主太囊了，但是架不住皮囊太好啊，如何不喜欢。
烂ོ桃ོ核ོ,2021-03-06 16:56:08,,3星,193,豆瓣高分片单里这部是真的疑惑……太一般了
米姐起飞,2010-12-09 15:29:23,,4星,388,当他爸爸画了棵大树扛到伤心的她面前，我哭了呢~
蚂蚁没问题,2010-12-13 19:14:17,,5星,374,譬如说女追男然后女的放弃然后男的突然开窍了开始反追然后女的拒绝然后男的继续无所不用其极然后你来我往几个回合最后皆大欢喜在一起的情节其实隽永美好的跟灰姑娘也快差不多了，我最喜欢也不是那句好莱坞俗套一般的“有天你将遇到一个人巴拉巴拉”，而是小孩儿应该怎么正能量的长大，遇到爱情也不卑微
同志亦凡人中文站,2011-06-25 14:35:56,,5星,259,让人怦然心动的青涩童年
朝暮雪,2013-11-07 12:52:36,,4星,207,叙事手法很赞，同一件事在不同人的眼中可能截然不同。
顾盼,2018-01-25 17:56:20,,4星,195,有趣的内心比美丽的外表更有魅力。唉，老夫的少女心…
插头,2021-07-04 22:13:43,,2星,153,再看一次还是觉得9.1分认真的吗
尽欢,2018-01-25 17:51:54,,4星,125,在最好的年纪遇到你。电影中的场景，色彩，人物都很美。喜欢女主多一点。
