用户名,评论时间,IP属地,评论分数,有用数量,短评内容
Lydia,2020-04-28 18:48:19,,3星,227,我看不懂，真的看不懂。我反思自己是不是理解能力有问题？我翻看了好多影评，依旧毫无头绪，没法产生共鸣。我的年龄和阅历，甚至情怀都不至于无法理解一部电影吧。这部几乎人人称颂的港片经典，评分9分以上的电影，真的不是某个年龄段人们的所谓情怀和过度解读推上去的？我真的怀疑人生了。
怎么还不可以啊,2022-12-11 07:01:49,山东,2星,61,除了朱茵的美丽我什么都看不懂，这似乎是一场男人的自怜自伤，怪不得用至尊宝做头像的男人需要避雷
卡特兰,2006-05-22 08:12:33,,5星,891,我想，应该不用说什么才对。
南笙,2012-01-06 22:58:28,,5星,810,我在你心里是个句号还是一个惊叹号？
隔岸观船,2017-01-11 22:40:21,,5星,489,你看那个人 好像一条狗啊  当他还是至尊宝的时候 他还是一个人 白晶晶 紫霞 嬉笑怒骂 爱恨纠缠 初爱 初心 最是轰轰烈烈 然而人总是要成长 要入世 要面对现实 要承担责任 要不辱使命 于是变成了孙悟空 带上了面具 学会了伪装 说不清道不明 活得好像一条狗
雨果,2016-12-23 19:10:41,,4星,89,至尊宝在救晶晶时光倒流的路上，爱上了紫霞的故事。紫霞天真的爱情真的很感人。经典台词也一堆。在心里留下了一滴眼泪；我猜到了开头猜不到结尾~~~问题是，至尊宝被晶晶她姐杀了，看到心里的眼泪，那里他不是死了么？虽然15年后重看，发现很多漏洞和粗糙，仍然瑕不掩瑜。
南山的姑娘,2017-04-12 21:26:43,,1星,470,简直就是为了圈钱的，情怀这个东西说多了就真不值钱了
朝暮雪,2012-08-07 16:00:24,,5星,302,《大话西游》好于99%的喜剧片，《仙球大战》好于0%的喜剧片。刘镇伟可能是唯一一个又拍过好于99%的喜剧片，又拍过好于0%的喜剧片的导演。
蔺生,2017-04-15 21:08:38,,5星,371,至尊宝在梦里叫了晶晶那个名字九十八次， 叫了紫霞七百八十四次。可是他醒来之后还是想跟晶晶成亲，因为他喜欢晶晶有一条一条理由，理由的存在会让人相信很多事。他不知道自己怎么就会喜欢上紫霞，只是，喜欢真的需要那么多理由吗。我也好想去他的良心里，问一问。
钟楼小奶糕,2011-07-06 12:46:07,,5星,840,一定有一些电影 永远都不能被超越
默默的蘑菇,2017-01-01 22:07:14,,4星,99,当年看的的时候还小，就觉得很好笑，还有朱茵长得好漂亮，个人觉得大话西游和唐伯虎点秋香是周星驰的巅峰，而最后的残阳是长江七号。
Cherry,2005-07-12 16:50:16,,3星,401,无法理解无厘头
真敷衍,2017-04-14 12:15:08,,1星,232,今年的戛纳电影节跟中国完全鸟关系都没有，红毯都懒得去蹭了。我们却还在漆黑狭小的电影院里对着二十三年前被吹上天的电影自我感动，抹一把高潮泪。怎么说才好呢？
伍德与夏洛蒂,2011-03-16 20:42:56,,5星,434,最触动我的，是孙悟空转身走掉时，周星驰和朱茵指着他的背说，他像不像一条狗啊。当场泪奔。
欢乐分裂,2014-10-27 21:17:22,,5星,154,#重看#看过无数次开头却从未目睹过结尾，悲伤；太多耳熟能详的台词、太多过目难忘的镜头，置于彼时场景，万千感慨涌上心头；爱或不爱，难道有理由吗？取经与否，难道你能选择吗？烂漫俏皮如紫霞，一颦一笑皆有情，那个脚踩祥云的人，若你心有刹那的异样，一定是我曾在你心里留下的泪。
拓小云,2018-02-13 01:06:08,,5星,279,要救她就得必须戴上金箍，而戴上金箍就不能跟她在一起。以前的我会选择不戴金箍，觉得轰轰烈烈的爱情才是最伟大的，而现在我选择戴上金箍。有时候放手也是一种伟大，就让她一直等待她那踏着七彩云的意中人来带她走。
王小邪,2008-02-04 00:37:04,,5星,241,笑着流泪...哭着笑出声...影响了太多人太久时间的经典
焰熠,2018-03-22 13:47:23,,4星,35,小时候看笑了 长大后看哭了 会背那一段一万年的台词了 可是再有没有那个踏着七彩祥云的大英雄了
琵小歌,2008-11-18 19:32:18,,5星,294,感动呜呜……一生所爱
老阿飞—故园,2006-01-08 17:40:10,,5星,187,伴我成长
半缕清风绕指柔,2018-02-10 22:39:36,,5星,62,刚又看完大话西游系列忍不住过来拉高一下评分，最爱的国产喜剧电影。
寒枝雀静,2017-04-14 01:03:36,,4星,26,这应该才算是正宗的“癫狂反向表达温情”吧。谁能想到这么多传统性别关系下的无厘头段子最后却堆叠出关乎爱情的不确定性这一颇为现代的命题，好像是用港式的笑料讲了一遍《倾城之恋》然后改了个结局一样。喷薄而出的情绪搭配迷幻的色彩看上去竟然有点墨镜王。观影中旁边的小姐姐大概表白了一万次朱茵。/ 20.8.7 95min版大银幕二刷   B＋
伊卡洛斯,2011-05-11 20:54:13,,5星,147,不开心，就算长生不老也没用，开心，就算只能活几天也足够！
