用户名,评论时间,IP属地,评论分数,有用数量,短评内容
刚波宁宁,2024-12-04 17:19:18,江苏,2星,0,剧情跟笑点都非常过时，但素彩蛋里面朱贤英好可爱
盐巴饭团,2024-12-19 01:02:39,广东,3星,0,很一般
宝井惠,2024-12-04 21:02:55,辽宁,1星,1,好无聊啊
硕野小天,2025-01-08 18:50:04,浙江,3星,0,柳承龙有了他的舒适圈。
Natseon,2024-10-31 13:29:02,韩国,3星,0,2.5吧。有点尬…政权和资本的妥协也永远只在影视剧里。
夏天,2024-11-30 20:23:53,吉林,3星,0,二倍速都嫌慢。实在没意思。
arimagons,2025-01-19 20:22:52,河南,3星,0,柳演的好尴尬啊，用力过猛
帆,2025-02-04 14:36:51,河北,2星,0,感觉特别一般，这电影。
リアチュウ,2024-11-29 17:25:20,安徽,1星,1,看海报就能猜出来是烂片，看了果然很烂
球球来了,2024-12-26 20:46:59,上海,2星,0,类似的题材，但是完全没有千里马好看
拉榴莲的西瓜,2024-12-16 07:12:21,北京,2星,0,乱七八糟
威武,2024-12-05 18:28:20,河南,3星,0,纯搞笑。
花卷,2024-12-05 19:21:32,江苏,3星,0,平平无奇，极限职业的辉煌不是那么容易复制的。
西铭,2024-12-17 21:13:12,韩国,4星,0,是个烂片，但是不耽误搞笑
浮生若梦,2024-12-10 00:25:58,福建,3星,0,三星半～～～为了亚马逊的箭术水平，棒子你也是操碎了心呀😅😅😅
Dorine Gorz,2025-01-05 13:46:11,美国,4星,0,四星都给陈善圭，这哥们太逗了，剧本有点弱不然能更好看
蘇,2024-12-10 16:19:03,江苏,2星,0,图一乐也图不太多
毛毛怪,2024-12-07 23:19:55,北京,1星,0,尴尬至极
Trøn,2024-11-29 18:22:27,湖北,2星,1,看的出韩国电影又想整点新活，但是这拍的是真无聊。
Toscany,2024-12-24 16:44:20,上海,3星,0,无厘头喜剧，感觉还挺搞笑的。虽然剧情某些小地方有漏洞，不过喜剧片就不要纠结bug了
标兵懒得奔北坡,2024-12-28 07:42:36,浙江,3星,0,作为喜剧片 蛮到位的 立意一般
꧁LHY꧂,2024-12-07 01:24:06,江苏,2星,0,韩国人自己意淫的闹剧 一星给柳承龙
星澄·孤若然,2024-12-25 19:23:51,安徽,2星,0,2倍速都表示看不下去～
_,2024-12-12 22:10:46,广东,未评分,0,剧情老套了点，笑还是能笑的
蛋白酶🚀,2024-12-05 22:55:06,湖北,2星,0,俗套的剧情无脑看
神是你的最爱,2024-12-10 01:29:17,广东,3星,0,一般般，单纯为了柳承龙看的，典型的商业片，最后没打赢韩国，打赢了日本也是一个小细节…….哈哈哈
Mr李拾柒,2024-12-02 17:47:17,山东,2星,1,韩影没以前拍的好看了
Lovestruck®,2024-12-10 09:20:14,海南,3星,0,笑点并没有想象的这么密集，还是差点意思，节奏也不是挺紧凑，最关键的比赛环节反而挺随意，看着挺赶工的感觉
今天也看的开心,2024-11-30 21:45:41,新疆,3星,0,蛮好玩的
失约,2024-12-02 23:00:37,吉林,3星,0,打发时间可以看一看 套路有新有旧 笑点有一点 中规中矩吧
阳光不锈,2024-12-26 23:22:48,陕西,3星,0,蛮好的
锦依卫,2024-11-18 14:53:36,越南,2星,1,在越南 临时看的 网络大电影
顾顾coolll,2024-12-27 00:08:29,新疆,2星,0,。
gｉ,2025-01-25 22:57:56,湖南,4星,0,突然觉得原始部落的生活也挺好 那个翻译真是太好笑了 太长了重新说一遍哈哈哈哈哈哈
momo,2024-12-20 22:12:41,江西,3星,0,还不错
coolkuching,2025-01-02 00:51:27,山东,3星,0,无厘头搞笑剧，剧情确实挺套路，题材还可以吧，感觉就是编剧确定了一个题材点子后就匆匆地拍了个电影。
Marlvan,2024-12-03 21:31:53,上海,3星,0,……很一般，纯用来打发时间
是249,2024-12-03 18:08:36,河北,未评分,0,可以预料到的剧情
海上晴风,2024-12-06 14:16:03,重庆,1星,0,太无趣了 没看的别浪费时间
跑啊跑,2025-01-22 14:02:01,浙江,3星,0,这是柳承龙第几部喜剧了。笑死韩国人找外国人以他们国家的名义参加比赛，图啥呢。最后拿了冠军挺好的
DQ,2024-12-12 15:33:24,江苏,2星,0,爆米花剧。有时我在想之所以我们都在呼吁爱包容尊重，可能正是因为我们人类无法做到才只能喊喊想想罢了。
陆仟LQ,2024-12-06 18:40:44,陕西,4星,0,下饭轻松喜剧 还有叔在《超异能族》里的炸鸡call back
bob潼仔,2024-12-08 11:23:33,天津,4星,0,喜闻乐见的喜剧，从头笑到尾。看到结尾好像还有续集，但同一种类型的换汤不换药，估计不会再看了
echolittlestar,2025-01-04 22:19:32,江苏,4星,0,九龙浦真的要笑死我哈哈哈哈，看到最后竟然泪目了，好电影最后升华了。
Outsider,2024-12-19 00:26:23,上海,2星,0,纯靠真诚动人心啊，套路老套就算了，笑点还不好玩。真就看他们几个射箭来了，比划了一个多小时，告诉你其实赢不赢都行。
玖 拾,2024-12-22 20:56:40,江西,1星,0,这个拍摄地跟阿斯达年代记好像啊，弃了，不好看。
油泼山药,2025-01-17 18:52:51,浙江,2星,0,还是那句话：只要剧本烂，演员再入戏也白搭。都跨国了，还是像白开水一样的剧情，到最后除了搞笑只剩搞笑。都什么年代了，还在拍这种几十年前模式的喜剧……
甜洋葱酱,2025-02-01 21:18:41,辽宁,4星,0,下辈子我们一起肩并肩穿梭在密林里吧🌴🐊🕷️🎯🏹👍
格格格格子,2024-12-12 16:33:53,山东,2星,0,柳承龙少演烂片…上部看的那个炸鸡剧也是咋咋呼呼的无厘头搞笑……看这个不如再去重新看一遍上帝也疯狂
诺贝尔可爱奖🏆,2024-12-16 21:05:47,重庆,4星,0,哈哈哈哈😂现代人类和亚马逊原始族群的碰撞💥可爱又搞笑🤪
Medeaia,2024-12-08 14:55:54,四川,5星,1,题材很好，演员很棒，搞笑幽默还不失感动，从这些来说，我觉得挺好的，经典“一起包饺子”情节，恍惚间还以为是我国来拍的电影，毕竟帮扶他国/小国、共建奥运精神、合作共赢、保护生态环境……嗯……
💦 Musi～,2024-12-07 14:26:05,重庆,1星,0,对我来说没有笑点，演技浮夸，剧情烂俗
yi banban,2024-12-04 23:33:21,陕西,2星,0,无聊套路
彼岸night,2024-11-29 21:04:48,浙江,1星,1,无聊
不要次豆豆,2024-12-20 19:19:02,四川,4星,0,虽然剧情老套，但很久没看到认真的讲述一个并不浮躁的真善美道理的故事了。永远为自然生命与平等感动
Rudy,2024-12-07 12:26:51,上海,2星,0,一般
一昂,2024-12-15 01:22:20,北京,4星,0,看得惯柳承龙演喜剧，情节设计的比较简单，但好笑就够了。
